Persona,graduated
Franco_Ambrogio,no
Cesare_Amici,no
Gaetano_Angius,no
Aldo_Aniasi,no
Varese_Antoni,no
Moreno_Bambi,no
Arnaldo_Baracetti,no
Eriase_Belardi,no
Antonio_Bellocchio,no
Fausto_Bocchi,no
Paolo_Pietro_Broccoli,no
Armando_Calaminici,no
Giovanni_Calice,no
Leo_Canullo,no
Francesco_Catanzariti,no
Natale_Carlotto,no
Pietro_Carmeno,no
Giorgio_Casalino,no
Benito_Cazora,no
Alberto_Cecchi,no
Giovanni_Battista_Colurcio,no
Pietro_Conti,no
Salvatore_Corallo,no
Angelo_Gaetano_Cresco,no
Marte_Ferrari,no
Sergio_Ceravolo,no
Vincenzo_Gatto,no
Carlo_Cerri,no
Pasquale_Lamorte,no
Lucio_Magri,no
Manfredo_Manfredi,no
Mario_Martinelli,no
Gino_Cesaroni,no
Silverio_Corvisieri,no
Mario_Cravedi,no
Emo_Danesi,no
Francesco_Da_Prato,no
Mazarino_Marco_De_Petro,no
Adolfo_Facchini,no
Giovanni_Fantaci,no
Guido_Fanti,no
Nevio_Felicetti,no
Luciano_Forni,no
Salvatore_Forte,no
Giuseppe_Fortunato,no
Hugo_Gamper,no
Raffaele_Giuseppe_Carmelo_Giura_Longo,no
Lelio_Grassucci,no
Gennaro_Guadagno,no
Enrico_Gualandi,no
Nazzareno_Guasso,no
Paolo_Guerrini,no
Guido_Ianni,no
Salvatore_La_Rocca,no
Pier_Giorgio_Licheri,no
Francesco_Lussignoli,no
Virginiangelo_Marabini,no
Andrea_Margheri,no
Fiorenzo_Maroli,no
Leopoldo_Attilio_Martino,no
Aldo_Cetrullo,no
Amleto_Monsellato,no
Vito_Napoli,no
Achille_Occhetto,no
Gianmario_Pellizzari,no
Elio_Quercioli,no
Antonio_Rubbi,no
Alberto_Ciampaglia,no
Angelo_Tiraboschi,no
Mario_Cirillo,no
Bruno_Zambon,no
Giuseppe_Zuech,no
Carlo_Ricca,no
Alessandro_Butte',no
Vittorino_Carra,no
Ferruccio_Biagini,no
Bruno_Stegagnini,no
Angelo_Landi,no
Liberato_Bronzuto,no
Paolo_Alatri,no
Mauro_Seppia,no
Elio_Fregonese,no
Walter_Alini,no
Francesco_Loperfido,no
Angelo_Abenante,no
Vittorio_Aicardi,no
Adelio_Albarello,no
Pio_Alessandrini,no
Silvio_Antonini,no
Silvano_Armaroli,no
Walter_Audisio,no
Pierino_Azimonti,no
Alfredo_Baldani_Guerra,no
Anelito_Barontini,no
Francesco_Colucci,no
Mario_Bettoli,no
Uberto_Bonino,no
Domenico_Borraccino,no
Luigi_Matrone,no
Silvio_Miana,no
Vito_Miceli,no
Giovanni_Migliorini,no
Armelino_Milani,no
Ruggero_Millet,no
Giorgio_Mondino,no
Saverio_Monteleone,no
Renzo_Moschini,no
Claudio_Napoleoni,no
Umberto_Chiacchio,no
Mauro_Olivi,no
Giuseppe_Orlando,no
Francesco_Ottaviano,no
Domenico_Petrella,no
Giampiero_Pucciarini,no
Emilio_Pugno,no
Carlo_Ramella,no
Aurelio_Ciacci,no
Giovanni_Rossino,no
Armando_Sarti,no
Mauro_Savino,no
Tommaso_Sicolo,no
Agostino_Spataro,no
Altiero_Spinelli,no
Giuseppe_Sposetti,no
Rolando_Tamburini,no
Nadir_Tedeschi,no
Aristide_Tesini,no
Francesco_Toni,no
Giovanni_Torri,no
Aldo_Tozzetti,no
Giuseppe_Siro_Trezzini,no
Antonio_Zavagnin,no
Domenico_Pinto,no
Michele_Cassano,no
Casimiro_Bonfiglio,no
Emidio_Bruni,no
Giuseppe_Bufardeci,no
Primo_Buzzetti,no
Osvaldo_Cagnasso,no
Marino_Calvaresi,no
Ettore_Calvi,no
Francesco_Candelli,no
Giulio_Cerreti,no
Ennio_Cervellati,no
Alarico_Carrassi,no
Vincenzo_Casati,no
Onorio_Cengarle,no
Aurelio_Colleoni,no
Arturo_Raffaello_Colombi,no
Renato_Colombo,no
Angelo_Compagnoni,no
Fernando_De_Marzi,no
Luigi_Di_Paolantonio,no
Giuseppe_Golinelli,no
Ezio_Maria_Gray,no
Fausto_Maria_Liberatore,no
Dino_Limoni,no
Carlo_Lombardi,no
Orlando_Lucchi,no
Andrea_Marabini,no
Spartaco_Marangoni,no
Michele_Martina,no
Silvio_Mello_Grand,no
Alessandro_Menchinelli,no
Mario_Montagnana,no
Otello_Montanari,no
Francesco_Moranino,no
Benedetto_Craxi,no
Pietro_Nenni,no
Adolfo_Loris_Cristofori,no
Narciso_Franco_Patrini,no
Secondo_Pessi,no
Luigi_Polano,no
Anselmo_Pucci,no
Antonio_Roasio,no
Antonio_Romeo,no
Luigi_Ruggeri,no
Walter_Sacchetti,no
Enrico_Sailis,no
Ezio_Santarelli,no
Remo_Scappini,no
Sergio_Scarpa,no
Franco_Bonferroni,no
Giorgio_Bornacin,no
Francesco_Bosi,no
Giuseppe_Camo,no
Bruno_Cazzaro,no
Francesco_Scotti,no
Stefano_Cusumano,no
Riccardo_De_Corato,no
Giovanni_Lorenzo_Forcieri,no
Nicola_Fusillo,no
Basilio_Germana',no
Francesco_Ferrarotti,no
Carlo_Ceruti,no
Ivone_Chinello,no
Giovanni_Casola,no
Renato_Cebrelli,no
Domenico_Conte,no
Vito_Damico,no
Vincenzo_Corghi,no
Giuseppe_De_Grazia,no
Giancarlo_Ferri,no
Beniamino_Finocchiaro,no
Gaetano_Illuminati,no
Giuseppe_Costamagna,no
Nello_Lusoli,no
Attilio_Manenti,no
Dario_Mengozzi,no
Vittorio_Naldini,no
Renato_Ognibene,no
Vasco_Palazzeschi,no
Ennio_Palmitessa,no
Franco_Pasini,no
Sergio_Cuminetti,no
Pasquale_Poerio,no
Giulio_Cesare_Polotti,no
Gianfranco_Rossinovich,no
Mauro_Santoni,no
Aldo_D'alessio,no
Luigi_Covatta,no
Loris_Scricciolo,no
Michele_Florino,no
Elio_Fontana,no
Antonino_Senese,no
Luigi_Granelli,no
Francesco_Soliano,no
Riccardo_Minardo,no
Pasquale_Specchio,no
