Ministro
ministro senza portafoglio per italiani all'estero e immigrazione
ministro senza portafoglio per gli affari regionali
"ministro dell'istruzione, dell'università e della ricerca"
"ministro del tesoro, bilancio e della programmazione economica"
"ministro delle risorse agricole, alimentari e forestali"
ministro senza portafoglio per le politiche comunitarie
ministro senza portafoglio per il turismo e lo sport
vice ministro affari esteri
ministro per le riforme costituzionali e i rapporti con il parlamento
ministro senza portafoglio per gli affari regionali e i problemi istituzionali
ministro del lavoro e della  previdenza sociale
ministro dei beni e delle attività culturali e del turismo
viceministro agli affari esteri e alla cooperazione internazionale
vice ministro dell'economia e delle finanze
ministro delle comunicazioni
ministro senza portafoglio per gli affari regionali e le riforme istituzionali
ministro dell'africa italiana
ministro del lavori pubblici
ministro senza portafoglio per la famiglia e la solidarietà sociale
viceministro dell'economia e delle finanze
vice ministro delle politiche agricole alimentari e forestali
ministro per i rapporti con il parlamento
vice ministro dei trasporti
ministro del commercio con l'estero
"ministro delle politiche agricole, alimentari e forestali"
ministro senza portafoglio per le aree urbane
"ministro dell'industria, commercio, artigianato e commercio con l'estero"
ministro dell'universita' e della ricerca scientifica e tecnologica
ministro senza portafoglio per la cooperazione internazionale e l'integrazione
ministro per le disabilità e la famiglia
vice ministro della pubblica istruzione
"ministro dell'università, della ricerca scientifica e tecnologica"
ministro per la semplificazione e la pubblica amministrazione
ministro senza portafoglio - coordinamento della protezione civile
ministro per la coesione territoriale e il mezzogiorno
ministro dell'ambiente e della tutela del territorio e del mare
ministro senza portafoglio per l'attuazione del programma
ministro senza portafoglio per la solidarietà sociale
ministro senza portafoglio per la famiglia e solidarietà sociale
ministro dell'università' e della ricerca scientifica e tecnologica
ministro della marina
ministro per l'attuazione del programma di governo
ministro delle politiche agricole alimentari e forestali
ministro dell'industria e commercio
ministro per gli affari regionali e le autonomie locali
ministro per gli affari regionali
ministro dei trasporti e della navigazione
ministro dell'economia e delle finanze
ministro senza portafoglio per i rapporti con le regioni
ministro senza portafoglio per i rapporti con il parlamento
ministro di grazie e giustizia
vice ministro dell'ambiente e della tutela del territorio
ministro delle partecipazioni statali
ministro senza portafoglio per gli affari sociali
ministro dell'assistenza post-bellica
ministro senza portafoglio per l'innovazione tecnologica e la digitalizzazione
ministro senza portafoglio per la pubblica amministrazione e l'innovazione
ministro dello sviluppo economico
ministro della difesa
ministro degli affari esteri e della cooperazione internazionale
ministro delle politiche agricole
ministro senza portafoglio per le pari opportunità
ministro per gli affari regionali e le autonomie
ministro per i rapporti con il parlamento e la democrazia diretta
ministro delle infrastrutture
vice ministro delle infrastrutture e della mobilità sostenibili
ministro dell'agricoltura e delle foreste
ministro del bilancio
ministro senza portafoglio per la funzione pubblica
ministro della transizione ecologica
ministro dell'ambiente e della tutela del territorio
vice ministro delle infrastrutture e dei trasporti
vice ministro degli affari esteri
ministro del turismo
"ministro del lavoro, della salute e delle politiche sociali"
ministro per le riforme e le innovazioni nella pubblica amministrazione
ministro senza portafoglio per le pari opportunità e la famiglia
ministro senza portafoglio per gli italiani nel mondo
ministro del bilancio e della programmazione economica
ministro del lavoro e delle politiche sociali
"ministro per le risorse agricole, alimentari e forestali"
"vice ministro all'istruzione, all'università e alla ricerca"
"ministro dell'industria, commercio e artigianato"
ministro della sanità
ministro per i diritti e le pari opportunità
ministro della cultura
"ministro dell' industria, commercio e artigianato"
ministro delle finanze e tesoro
ministro degli affari esteri
ministro per la consulta nazionale
ministro delle infrastrutture e della mobilità sostenibili
ministro per gli affari esteri
"ministro delle politiche agricole alimentari, forestali e del turismo"
ministro per le politiche giovanili e le attività sportive
ministro per gli affari europei
ministro delll'industria e commercio
vice ministro dell'istruzione
ministro dellì'agricoltura e foreste
vice ministro della salute
ministro della marina mercantile
vice ministro per i beni e le attività culturali
ministro senza portafoglio per l'attuazione del programma di governo
ministro senza portafoglio per lo sviluppo e la coesione territoriale
"ministro del tesoro, bilancio e alla programmazione economica"
ministro delle politiche agricole e forestali
ministro senza portafoglio per le politiche per i giovani
ministro senza portafoglio per la coesione territoriale
ministro delle infrastrutture e dei trasporti
ministro senza portafoglio della presidenza del consiglio dei ministri
ministro del turismo e spettaciolo
ministro della guerra
ministro dei trasporti
ministro senza portafoglio per le politiche dell'unione europea
ministro senza portafoglio per le politiche europee
vice ministro delle infrastrutture
ministro dell'università e della ricerca scientifica e tecnologica
ministro senza portafoglio per gli affari regionali e per le autonomie
ministro per i beni e le attività culturali e per il turismo
ministro senza portafoglio per l'innovazione e le tecnologie
ministro per il coordinamento di iniziative nel settore del turismo
vice ministro dello sviluppo economico
ministro della sanita'
ministro per il sud
ministro per lo sport
ministro delle finanze
ministro senza portafoglio per il coordinamento delle politiche comunitarie
ministro senza portafoglio per il riordinamento delle partecipazioni statali
ministro per le partecipazioni statali
ministro dell'aeronautica
ministro senza portafoglio per i rapporti con il parlamento e il coordinamento dell'attività di governo
vice ministro dell'economia e le finanze
"ministro del tesoro, bilancio e programmazione economica"
ministro per le pari opportunità e la famiglia
ministro per l'innovazione tecnologica e la transizione digitale
vice ministro dell'interno
ministro della solidarietà sociale
ministro senza portafoglio per le riforme costituzionali
"ministro senza portafoglio per gli affari regionali, il turismo e lo sport"
ministro per la costituente
ministro per il sud e la coesione territoriale
"ministro senza portafoglio per le pari opportunità, lo sport e le politiche giovanili"
ministron del lavoro e della previdenza sociale
ministro dei lavori pubblici
ministro dei beni culturali e ambientali
ministro dei beni e delle attività culturali
vice ministro ai beni e alle attività culturali
ministro della giustizia
ministro dell'università e della ricerca
ministro senza portafoglio per le riforme istituzionali ed elettorali
ministro per la famiglia e le disabilità
ministro per le politiche giovanili
ministro senza portafoglio per le politiche giovanili e lo sport
ministro senza portafoglio per i problemi delle aree urbane
ministro dell'istruzione
vice ministro della giustizia
ministro per l'africa italiana
vice ministro delle attività produttive
ministro senza portafoglio della gioventù
ministro per la pubblica amministrazione
ministro senza portafoglio per le riforme istituzionali
ministro senza portafoglio
ministro senza portafoglio per gli affari europei
ministro per i rapporti con il parlamento e le riforme istituzionali
ministro delle politiche per la famiglia
ministro senza portafoglio per l'integrazione
vice ministro degli affari esteri e della cooperazione internazionale
ministro senza portafoglio per la ricerca scientifica e tecnologica
ministro della salute
ministro del lavoro e della previdenza sociale
ministro senza portafoglio per le riforme istituzionali e la devoluzione
ministro delle poste e delle telecomunicazioni
ministro dell'industria e del commercio
ministro del turismo e dello spettacolo
ministro per le disabilità
ministro del turismo e spettacolo
ministro senza portafoglio per gli affari regionali e le autonomie
ministro senza portafoglio per la pubblica amministrazione e la semplificazione
ministro senza portafoglio per gli interventi straordinari nel mezzogiorno
ministro dei beni culturali ed ambientali
ministro dell'agricolture e foreste
ministro delle poste e telecomunicazioni
ministro senza portafoglio per la semplificazione normativa
ministro dell'ambiente
ministro della pubblica istruzione
"vice ministro dell'istruzione, dell'università e della ricerca"
ministro senza portafoglio per il turismo
ministro senza portafoglio per i rapporti con le regioni e per la coesione territoriale
ministro delle attività produttive
ministro affari esteri
"vice ministro del lavoro, della salute e delle politiche sociali"
vice ministro del lavoro e delle politiche sociali
ministro senza portafoglio per le riforme per il federalismo
ministro della ricostruzione
ministro di grazia e giustizia
ministro del tesoro
"ministro dell'industria, del commercio e artigianato"
ministro per i beni e le attività culturali
ministro dell'università e ricerca scientifica e tecnologica
ministro senza portafoglio per il sud e la coesione territoriale
ministro dell'agricoltura e foreste
ministro dei trasporti e dell'aviazione civile
ministro senza portafoglio per il coordinamento della protezione civile
ministro dell'interno
vice ministro all'ambiente e alla tutela del territorio
ministro del commercio internazionale
ministro senza portafoglio per la pubblica amministrazione
