legislatura,graduated,non graduated
costituente 12,8
1,24,20
2,15,17
3,12,13
4,15,14
5,10,8
6,13,13
7,32,23
8,32,26
9,27,27
10,42,33
11,37,16
12,66,31
13,50,23
14,54,20
15,80,31
16,98,41
17,149,57
18,171,68
19,92,37
