gruppoPar,numeroUomini,numeroDonne
ALLEANZA VERDI E SINISTRA,2,0
AZIONE - ITALIA VIVA - RENEW EUROPE,4,0
FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE,8,0
FRATELLI D'ITALIA,8,0
LEGA - SALVINI PREMIER,7,0
MOVIMENTO 5 STELLE,4,0
NOI MODERATI,2,0
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,8,0
ALLEANZA VERDI E SINISTRA,0,1
AZIONE - ITALIA VIVA - RENEW EUROPE,0,1
FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE,0,2
FRATELLI D'ITALIA,0,3
LEGA - SALVINI PREMIER,0,2
MOVIMENTO 5 STELLE,0,2
NOI MODERATI,0,1
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,0,6
