Governo,Ministro,Legislatura
I Governo Craxi,Ministro della Pubblica Istruzione,legislatura 09
II Governo Craxi,Ministro della Pubblica istruzione,legislatura 09
VI Governo Fanfani,Ministro della Pubblica Istruzione,legislatura 09
