Persona,legislatura,graduated
Piero_Malvestiti,4,no
Renato_Tega,costituente,no
Ezio_Villani,costituente,no
Arnaldo_Azzi,costituente,no
Arnaldo_Azzi,1,no
Umberto_Sannicolo',1,no
Umberto_Sannicolo',3,no
Oreste_Bonomelli,costituente,no
Oreste_Bonomelli,2,no
Aldovino_Fora,1,no
Aldovino_Fora,2,no
Alfredo_Cotani,1,no
Antonio_Di_Donato,1,no
Bruto_Puccetti,1,no
Fiorenzo_Cimenti,costituente,no
Fiorenzo_Cimenti,1,no
Fernando_Santi,1,no
Fernando_Santi,2,no
Fernando_Santi,3,no
Fernando_Santi,4,no
Giuseppe_Ricci,costituente,no
Giuseppe_Ricci,1,no
Alberto_Consiglio,1,no
Quinto_Bucci,costituente,no
Guido_Mazzali,1,no
Guido_Mazzali,2,no
Guido_Mazzali,3,no
Emilio_Zannerini,costituente,no
Emilio_Zannerini,2,no
Pietro_Reali,1,no
Pietro_Reali,2,no
Otello_Magnani,2,no
Otello_Magnani,3,no
Celeste_Carlo_Negarville,costituente,no
Celeste_Carlo_Negarville,3,no
Vittorio_Ghidetti,costituente,no
Vittorio_Ghidetti,2,no
Luigi_Allegato,costituente,no
Luigi_Morelli,costituente,no
Luigi_Morelli,1,no
Luigi_Morelli,2,no
Antonio_Luigi_Lombardini,1,no
Federico_Torretta,1,no
Michele_Sala,1,no
Michele_Sala,2,no
Francesco_Saija,1,no
Pietro_Mentasti,costituente,no
Bruno_Castellarin,1,no
Bruno_Castellarin,2,no
Carlo_Repossi,1,no
Carlo_Repossi,2,no
Carlo_Repossi,3,no
Giordano_Pratolongo,costituente,no
Giordano_Pratolongo,1,no
Giuseppe_Dozza,costituente,no
Domenico_Ciufoli,1,no
Chiaffredo_Belliardi,1,no
Aldo_Maina,6,no
Piergiorgio_Allera,5,no
Piergiorgio_Allera,6,no
Giovanni_De_Lorenzo,5,no
Giovanni_De_Lorenzo,6,no
Alfredo_De_Polzer,4,no
Giuseppe_Terragni,3,no
Natale_Di_Piazza,3,no
Natale_Di_Piazza,4,no
Mario_Ottieri,3,no
Mario_Ottieri,4,no
Riccardo_Fabbri,3,no
Riccardo_Fabbri,4,no
Nicola_Fasano,3,no
Antonio_Caldoro,5,no
Antonio_Caldoro,6,no
Antonio_Caldoro,7,no
Antonio_Caldoro,8,no
Antonio_Caldoro,9,no
Gioacchino_Lauro,3,no
Gioacchino_Lauro,4,no
Gioacchino_Lauro,5,no
Giovanni_Arenella,3,no
Giovanni_Arenella,4,no
Giulio_Goehring,4,no
Roberto_Marmugi,5,no
Roberto_Marmugi,6,no
Alessandro_Canestrari,3,no
Alessandro_Canestrari,4,no
Alessandro_Canestrari,5,no
Alessandro_Canestrari,6,no
Michele_Capra,5,no
Michele_Capra,6,no
Giovanni_Oreste_Villa,3,no
Giuliano_De_Laurentiis,5,no
Giuliano_De_Laurentiis,6,no
Luciano_Romagnoli,3,no
Luciano_Romagnoli,4,no
Umberto_Zurlini,3,no
Umberto_Zurlini,5,no
Mauro_Silvano_Lombardi,5,no
Mauro_Silvano_Lombardi,6,no
Luigi_Castagno,3,no
Luigi_Zanoni,2,no
Carlo_Olmini,4,no
Carlo_Olmini,5,no
Amedeo_Rubeo,2,no
Amedeo_Rubeo,4,no
Paolo_Angelino,2,no
Paolo_Angelino,3,no
Paolo_Angelino,4,no
Giuseppe_Carra',6,no
Giuseppe_Carra',7,no
Giuseppe_Carra',8,no
Giuseppe_Balasso,5,no
Giuseppe_Balasso,6,no
Alessandro_Carri,6,no
Achille_Cruciani,3,no
Achille_Cruciani,4,no
Giulio_Montelatici,1,no
Giulio_Montelatici,2,no
Luigi_Grassi,1,no
Francesco_Verga,4,no
Francesco_Verga,5,no
Francesco_Verga,6,no
Giacomo_Calandrone,1,no
Giacomo_Calandrone,2,no
Gianfranco_Rocelli,6,no
Gianfranco_Rocelli,7,no
Gianfranco_Rocelli,8,no
Gianfranco_Rocelli,9,no
Gianfranco_Rocelli,10,no
Domenico_Mezzadra,costituente,no
Luigi_Pintor,5,no
Luigi_Pintor,10,no
Arnaldo_Zucchini,5,no
Renato_Bastianelli,4,no
Renato_Bastianelli,5,no
Renato_Bastianelli,6,no
Falco_Accame,7,no
Falco_Accame,8,no
Nicola_Adamo,7,no
Nicola_Adamo,8,no
Nicola_Adamo,15,no
Nicola_Adamo,7,no
Nicola_Adamo,8,no
Nicola_Adamo,15,no
Guido_Alborghetti,7,no
Guido_Alborghetti,8,no
Guido_Alborghetti,9,no
Guido_Alborghetti,10,no
Francesco_Alici,7,no
Francesco_Alici,8,no
Abdon_Alinovi,7,no
Abdon_Alinovi,8,no
Abdon_Alinovi,9,no
Abdon_Alinovi,10,no
Domenico_Amalfitano,7,no
Domenico_Amalfitano,8,no
Domenico_Amalfitano,9,no
Domenico_Amalfitano,10,no
Giuseppe_Amarante,7,no
Giuseppe_Amarante,8,no
Franco_Ambrogio,7,no
Franco_Ambrogio,8,no
Franco_Ambrogio,9,no
Cesare_Amici,7,no
Cesare_Amici,8,no
Gaetano_Angius,7,no
Aldo_Aniasi,7,no
Aldo_Aniasi,8,no
Aldo_Aniasi,9,no
Aldo_Aniasi,10,no
Aldo_Aniasi,11,no
Varese_Antoni,7,no
Varese_Antoni,8,no
Varese_Antoni,9,no
Moreno_Bambi,7,no
Moreno_Bambi,8,no
Moreno_Bambi,9,no
Arnaldo_Baracetti,7,no
Arnaldo_Baracetti,8,no
Arnaldo_Baracetti,9,no
Eriase_Belardi,7,no
Eriase_Belardi,8,no
Eriase_Belardi,9,no
Antonio_Bellocchio,7,no
Antonio_Bellocchio,8,no
Antonio_Bellocchio,9,no
Antonio_Bellocchio,10,no
Fausto_Bocchi,5,no
Fausto_Bocchi,7,no
Fausto_Bocchi,8,no
Fausto_Bocchi,9,no
Paolo_Pietro_Broccoli,7,no
Paolo_Pietro_Broccoli,8,no
Armando_Calaminici,7,no
Armando_Calaminici,8,no
Giovanni_Calice,7,no
Leo_Canullo,7,no
Leo_Canullo,8,no
Leo_Canullo,9,no
Francesco_Catanzariti,6,no
Natale_Carlotto,7,no
Natale_Carlotto,8,no
Natale_Carlotto,9,no
Pietro_Carmeno,7,no
Pietro_Carmeno,8,no
Giorgio_Casalino,7,no
Giorgio_Casalino,8,no
Benito_Cazora,7,no
Benito_Cazora,8,no
Benito_Cazora,9,no
Alberto_Cecchi,7,no
Alberto_Cecchi,8,no
Giovanni_Battista_Colurcio,7,no
Pietro_Conti,7,no
Pietro_Conti,8,no
Pietro_Conti,9,no
Salvatore_Corallo,7,no
Angelo_Gaetano_Cresco,7,no
