regione,count
ABRUZZO,131
BASILICATA,91
CALABRIA,82
CAMPANIA,72
EMILIA-ROMAGNA,68
FRIULI VENEZIA GIULIA,67
LAZIO,66
LIGURIA,65
LOMBARDIA,52
MARCHE,30
MOLISE,28
PIEMONTE,24
PUGLIA,24
SARDEGNA,23
SICILIA,16
TOSCANA,14
TRENTINO ALTO ADIGE,10
UMBRIA,6
VALLE D'AOSTA,6
VENETO,2
