Mario_Ricci,no
Armando_Sabatini,no
Dino_Saccenti,no
Giovanni_Sodano,no
Achille_Stuani,no
Paolo_Suraci,no
Leonildo_Tarozzi,no
Giuseppe_Tudisco,no
Carlo_Eugenio_Venegoni,no
Riccardo_Walter,no
Giuseppe_Latorre,no
Mario_Angelucci,no
Carlo_Farini,no
Bortolo_Eugenio_Fina,no
Priamo_Bigiandi,no
Natale_Vasco_Jacoponi,no
Luigi_Zappelli,no
Alcide_Pirazzi_Maffiola,no
Luigi_Vallone,no
Arturo_Burato,no
Verenin_Grazia,no
Alessandro_Scotti,no
Giulio_Pastore,no
Giovanni_Gasparoli,no
Gaetano_Invernizzi,no
Filippo_Barattolo,no
Matteo_Tonengo,no
Giuseppe_Babbi,no
Santo_Filippo_Neri_Semeraro,no
Olindo_Cremaschi,no
Alberto_Simonini,no
Giulio_Turchi,no
Piero_Malvestiti,no
Arnaldo_Azzi,no
Umberto_Sannicolo',no
Aldovino_Fora,no
Alfredo_Cotani,no
Antonio_Di_Donato,no
Bruto_Puccetti,no
Fiorenzo_Cimenti,no
Fernando_Santi,no
Giuseppe_Ricci,no
Alberto_Consiglio,no
Guido_Mazzali,no
Pietro_Reali,no
Luigi_Morelli,no
Antonio_Luigi_Lombardini,no
Federico_Torretta,no
Michele_Sala,no
Francesco_Saija,no
Bruno_Castellarin,no
Carlo_Repossi,no
Giordano_Pratolongo,no
Domenico_Ciufoli,no
Chiaffredo_Belliardi,no
Giulio_Montelatici,no
Luigi_Grassi,no
Giacomo_Calandrone,no
Mario_Martinelli,no
Pio_Alessandrini,no
Walter_Audisio,no
Anelito_Barontini,no
Uberto_Bonino,no
Osvaldo_Cagnasso,no
Giulio_Cerreti,no
Aurelio_Colleoni,no
Carlo_Lombardi,no
Andrea_Marabini,no
Mario_Montagnana,no
Francesco_Moranino,no
Pietro_Nenni,no
Secondo_Pessi,no
Luigi_Polano,no
Antonio_Roasio,no
Walter_Sacchetti,no
Enrico_Sailis,no
Remo_Scappini,no
Sergio_Scarpa,no
Francesco_Scotti,no
Giuseppe_Togni,no
Giusto_Tolloy,no
Agostino_Novella,no
Torquato_Baglioni,no
Giacomo_Bergamonti,no
Giuseppe_Berti,no
Giuseppe_Berti,no
Mario_Bettinotti,no
Vincenzo_Cecconi,no
Giuseppe_Chiostergi,no
Alberto_De_Martino,no
Giuseppe_Di_Vittorio,no
Vannuccio_Faralli,no
Celestino_Ferrario,no
Guglielmo_Giannini,no
Giuseppe_Giulietti,no
Pietro_Grammatico,no
Candido_Grassi,no
Giuseppe_Imperiale,no
Alfredo_Proia,no
Gioacchino_Quarello,no
Giuseppe_Giovanni_Battista_Raimondi,no
Albino_Ottavio_Stella,no
Domenico_Marzi,no
Enrico_Mattei,no
Lionello_Matteucci,no
Arturo_Michelini,no
Roberto_Mieville,no
Primo_Romolo_Palenzona,no
Enrico_Parri,no
Mario_Roveda,no
Tomaso_Smith,no
Eugenio_Spiazzi,no
