Governo,Ministro,nome,cognome,gender,legislatura
I Governo Ciampi,Ministro degli Affari esteri,LEOPOLDO,ELIA,male,legislatura 11
I Governo Ciampi,Ministro senza Portafoglio per le riforme istituzionali ed elettorali,LEOPOLDO,ELIA,male,legislatura 11
I Governo Ciampi,Ministro del Lavoro e della previdenza sociale,LUIGI,GIUGNI,male,legislatura 11
I Governo Berlusconi,Ministro senza Portafoglio per la Famiglia e Solidarietà sociale,ANTONIO,GUIDI,male,legislatura 12
VI Governo Andreotti,Ministro del Lavoro e della Previdenza sociale,ROSA,JERVOLINO RUSSO,female,legislatura 10
I Governo Amato,Ministro della Pubblica Istruzione,ROSA,JERVOLINO RUSSO,female,legislatura 11
I Governo Ciampi,Ministro della Pubblica istruzione,ROSA,JERVOLINO RUSSO,female,legislatura 11
VI Governo Andreotti,Ministro senza Portafoglio per gli Affari sociali,ROSA,JERVOLINO RUSSO,female,legislatura 10
VII Governo Andreotti,Ministro senza Portafoglio per gli Affari sociali,ROSA,JERVOLINO RUSSO,female,legislatura 10
I Governo Berlusconi,Ministro degli Affari Esteri,ANTONIO,MARTINO,male,legislatura 12
I Governo Berlusconi,Ministro dell'Universita' e della Ricerca Scientifica e Tecnologica,STEFANO,PODESTA',male,legislatura 12
I Governo Berlusconi,Ministro delle Finanze,GIULIO CARLO DANILO,TREMONTI,male,legislatura 12
I Governo Berlusconi,Ministro senza Portafoglio per la funzione pubblica,GIULIANO,URBANI,male,legislatura 12
I Governo Berlusconi,Ministro senza Portafoglio per gli Affari regionali,GIULIANO,URBANI,male,legislatura 12
VII Governo Andreotti,Ministro della Pubblica Istruzione,RICCARDO,MISASI,male,legislatura 10
VI Governo Andreotti,Ministro senza Portafoglio per gli interventi straordinari nel Mezzogiorno,RICCARDO,MISASI,male,legislatura 10
VI Governo Andreotti,Ministro dei Lavori Pubblici,GIOVANNI,PRANDINI,male,legislatura 10
VII Governo Andreotti,Ministro dei Lavori Pubblici,GIOVANNI,PRANDINI,male,legislatura 10
I Governo Berlusconi,Ministro dei Lavori Pubblici,ROBERTO,RADICE,male,legislatura 12
I Governo Berlusconi,Ministro della Difesa,CESARE,PREVITI,male,legislatura 12
I Governo Amato,Ministro dei Lavori pubblici,FRANCESCO,MERLONI,male,legislatura 11
I Governo Ciampi,Ministro dei Lavori pubblici,FRANCESCO,MERLONI,male,legislatura 11
I Governo Dini,Ministro senza portafoglio per la Funzione pubblica,FRANCO,FRATTINI,male,legislatura 12
I Governo Dini,Ministro senza portafoglio per gli Affari regionali,FRANCO,FRATTINI,male,legislatura 12
VI Governo Andreotti,Ministro senza Portafoglio per gli interventi straordinari nel Mezzogiorno,GIOVANNI EUGENIO,MARONGIU,male,legislatura 10
I Governo Dini,Ministro del Lavoro e della previdenza sociale,TIZIANO,TREU,male,legislatura 12
I Governo Berlusconi,Ministro del Tesoro,LAMBERTO,DINI,male,legislatura 12
I Governo Dini,Ministro del Tesoro,LAMBERTO,DINI,male,legislatura 12
I Governo Dini,Ministro di Grazia e giustizia,LAMBERTO,DINI,male,legislatura 12
VI Governo Andreotti,Ministro senza Portafoglio,ANTONIO,MACCANICO,male,legislatura 10
VI Governo Andreotti,Ministro senza Portafoglio per gli Affari regionali e i problemi istituzionali,ANTONIO,MACCANICO,male,legislatura 10
I Governo Dini,Ministro della Pubblica istruzione,GIANCARLO,LOMBARDI,male,legislatura 12
I Governo Dini,Ministro di Grazia e giustizia,FILIPPO,MANCUSO,male,legislatura 12
I Governo Berlusconi,Ministro del Bilancio e della Programmazione economica,GIANCARLO,PAGLIARINI,male,legislatura 12
I Governo Dini,Ministro del Bilancio e della programmazione economica,AUGUSTO,FANTOZZI,male,legislatura 12
I Governo Dini,Ministro delle Finanze,AUGUSTO,FANTOZZI,male,legislatura 12
I Governo Dini,Ministro senza portafoglio per le Politiche dell'Unione Europea,AUGUSTO,FANTOZZI,male,legislatura 12
VI Governo Andreotti,Ministro della Difesa,VIRGINIO,ROGNONI,male,legislatura 10
VII Governo Andreotti,Ministro della Difesa,VIRGINIO,ROGNONI,male,legislatura 10
VI Governo Andreotti,Ministro senza Portafoglio per il coordinamento delle politiche comunitarie,PIER LUIGI,ROMITA,male,legislatura 10
VII Governo Andreotti,Ministro senza Portafoglio per il coordinamento delle politiche comunitarie,PIER LUIGI,ROMITA,male,legislatura 10
VI Governo Andreotti,Ministro dell'Interno,VINCENZO,SCOTTI,male,legislatura 10
VII Governo Andreotti,Ministro dell'Interno,VINCENZO,SCOTTI,male,legislatura 10
I Governo Amato,Ministro degli Affari esteri,VINCENZO,SCOTTI,male,legislatura 11
I Governo Amato,Ministro dei Trasporti,GIANCARLO,TESINI,male,legislatura 11
I Governo Amato,Ministro della Marina Mercantile,GIANCARLO,TESINI,male,legislatura 11
VI Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",ADOLFO,BATTAGLIA,male,legislatura 10
VII Governo Andreotti,Ministro dell'Agricoltura e Foreste,GIOVANNI,GORIA,male,legislatura 10
I Governo Amato,Ministro delle Finanze,GIOVANNI,GORIA,male,legislatura 11
VI Governo Andreotti,Ministro della Pubblica Istruzione,GERARDO,BIANCO,male,legislatura 10
VII Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",GUIDO,BODRATO,male,legislatura 10
I Governo Pella,Ministro delle Finanze,EZIO,VANONI,male,legislatura 02
