Governo,Ministro,nome,cognome,gender,legislatura
I Governo Prodi,Ministro delle Comunicazioni,ANTONIO,MACCANICO,male,legislatura 13
I Governo D'Alema,Ministro senza portafoglio per le Riforme istituzionali,ANTONIO,MACCANICO,male,legislatura 13
II Governo D'Alema,Ministro senza Portafoglio per le Riforme istituzionali,ANTONIO,MACCANICO,male,legislatura 13
II Governo Amato,Ministro senza Portafoglio per le Riforme istituzionali,ANTONIO,MACCANICO,male,legislatura 13
II Governo Berlusconi,Ministro delle Attività produttive,ANTONIO,MARZANO,male,legislatura 14
I Governo Prodi,Ministro del Commercio con l'estero,AUGUSTO,FANTOZZI,male,legislatura 13
II Governo Berlusconi,"Vice Ministro dell'Istruzione, dell'università e della ricerca",GUIDO,POSSA,male,legislatura 14
I Governo D'Alema,Ministro dei Lavori Pubblici,ENRICO LUIGI,MICHELI,male,legislatura 13
II Governo Berlusconi,Ministro senza portafoglio per gli Italiani nel mondo,PIERANTONIO MIRKO,TREMAGLIA,male,legislatura 14
I Governo Prodi,Ministro dell'Ambiente,EDOARDO,RONCHI,male,legislatura 13
I Governo D'Alema,Ministro dell'Ambiente,EDOARDO,RONCHI,male,legislatura 13
II Governo D'Alema,Ministro dell'Ambiente,EDOARDO,RONCHI,male,legislatura 13
