persona,gender,legislatura,graduated
Giovanni_Bortot,male,legislatura05,no
Giovanni_Bortot,male,legislatura06,no
Elvo_Tempia_Valenta,male,legislatura04,no
Elvo_Tempia_Valenta,male,legislatura05,no
Pietro_Valeggiani,male,legislatura04,no
Pietro_Valeggiani,male,legislatura05,no
Carlo_Bottari,male,legislatura04,no
Carlo_Bottari,male,legislatura05,no
Carlo_Bottari,male,legislatura06,no
Giuseppe_Avolio,male,legislatura03,no
Giuseppe_Avolio,male,legislatura04,no
Giuseppe_Avolio,male,legislatura05,no
Oddino_Bo,male,legislatura04,no
Oddino_Bo,male,legislatura05,no
Angelo_Cucchi,male,legislatura04,no
Angelo_Cucchi,male,legislatura05,no
Eliseo_Milani,male,legislatura05,no
Eliseo_Milani,male,legislatura07,no
Eliseo_Milani,male,legislatura08,no
Vittorio_Cecati,male,legislatura03,no
Vittorio_Cecati,male,legislatura05,no
Spartaco_Beragnoli,male,legislatura04,no
Spartaco_Beragnoli,male,legislatura05,no
Alfonso_Cerreti,male,legislatura03,no
Archimede_Taverna,male,legislatura04,no
Federico_Brini,male,legislatura06,no
Federico_Brini,male,legislatura07,no
Federico_Brini,male,legislatura08,no
Pietro_Ludovico_Vergani,male,legislatura05,no
Pietro_Bruschi,male,legislatura06,no
Aldo_Arzilli,male,legislatura05,no
Aldo_Arzilli,male,legislatura06,no
Giuseppe_Antonio_Bottaro,male,legislatura04,no
Giulio_Perugi,male,legislatura costituente,no
Filippo_Barattolo,male,legislatura01,no
Filippo_Barattolo,male,legislatura02,no
Pietro_Pressinotti,male,legislatura costituente,no
Matteo_Tonengo,male,legislatura01,no
Giuseppe_Babbi,male,legislatura01,no
Giuseppe_Babbi,male,legislatura03,no
Cesare_Curcio,male,legislatura02,no
Santo_Filippo_Neri_Semeraro,male,legislatura01,no
Santo_Filippo_Neri_Semeraro,male,legislatura02,no
Angelo_Priore,male,legislatura02,no
Olindo_Cremaschi,male,legislatura costituente,no
Olindo_Cremaschi,male,legislatura01,no
Olindo_Cremaschi,male,legislatura02,no
Alberto_Simonini,male,legislatura costituente,no
Alberto_Simonini,male,legislatura01,no
Alberto_Simonini,male,legislatura02,no
Alberto_Simonini,male,legislatura03,no
Giulio_Turchi,male,legislatura01,no
Giulio_Turchi,male,legislatura02,no
Vincenzo_Tieri,male,legislatura costituente,no
Piero_Malvestiti,male,legislatura costituente,no
Piero_Malvestiti,male,legislatura01,no
Piero_Malvestiti,male,legislatura02,no
Piero_Malvestiti,male,legislatura04,no
Renato_Tega,male,legislatura costituente,no
Ezio_Villani,male,legislatura costituente,no
Arnaldo_Azzi,male,legislatura costituente,no
Arnaldo_Azzi,male,legislatura01,no
Umberto_Sannicolo',male,legislatura01,no
Umberto_Sannicolo',male,legislatura03,no
Oreste_Bonomelli,male,legislatura costituente,no
Oreste_Bonomelli,male,legislatura02,no
Aldovino_Fora,male,legislatura01,no
Aldovino_Fora,male,legislatura02,no
Alfredo_Cotani,male,legislatura01,no
Antonio_Di_Donato,male,legislatura01,no
Bruto_Puccetti,male,legislatura01,no
Fiorenzo_Cimenti,male,legislatura costituente,no
Fiorenzo_Cimenti,male,legislatura01,no
Fernando_Santi,male,legislatura01,no
Fernando_Santi,male,legislatura02,no
Fernando_Santi,male,legislatura03,no
Fernando_Santi,male,legislatura04,no
Giuseppe_Ricci,male,legislatura costituente,no
Giuseppe_Ricci,male,legislatura01,no
Alberto_Consiglio,male,legislatura01,no
Quinto_Bucci,male,legislatura costituente,no
Guido_Mazzali,male,legislatura01,no
Guido_Mazzali,male,legislatura02,no
Guido_Mazzali,male,legislatura03,no
Emilio_Zannerini,male,legislatura costituente,no
Emilio_Zannerini,male,legislatura02,no
Pietro_Reali,male,legislatura01,no
Pietro_Reali,male,legislatura02,no
Otello_Magnani,male,legislatura02,no
Otello_Magnani,male,legislatura03,no
Celeste_Carlo_Negarville,male,legislatura costituente,no
Celeste_Carlo_Negarville,male,legislatura03,no
Vittorio_Ghidetti,male,legislatura costituente,no
Vittorio_Ghidetti,male,legislatura02,no
Luigi_Allegato,male,legislatura costituente,no
Luigi_Morelli,male,legislatura costituente,no
Luigi_Morelli,male,legislatura01,no
Luigi_Morelli,male,legislatura02,no
Antonio_Luigi_Lombardini,male,legislatura01,no
Federico_Torretta,male,legislatura01,no
Michele_Sala,male,legislatura01,no
Michele_Sala,male,legislatura02,no
Francesco_Saija,male,legislatura01,no
Pietro_Mentasti,male,legislatura costituente,no
Bruno_Castellarin,male,legislatura01,no
Bruno_Castellarin,male,legislatura02,no
Carlo_Repossi,male,legislatura01,no
Carlo_Repossi,male,legislatura02,no
Carlo_Repossi,male,legislatura03,no
Giordano_Pratolongo,male,legislatura costituente,no
Giordano_Pratolongo,male,legislatura01,no
Giuseppe_Dozza,male,legislatura costituente,no
Domenico_Ciufoli,male,legislatura01,no
Chiaffredo_Belliardi,male,legislatura01,no
Aldo_Maina,male,legislatura06,no
Piergiorgio_Allera,male,legislatura05,no
Piergiorgio_Allera,male,legislatura06,no
Giovanni_De_Lorenzo,male,legislatura05,no
Giovanni_De_Lorenzo,male,legislatura06,no
Alfredo_De_Polzer,male,legislatura04,no
Giuseppe_Terragni,male,legislatura03,no
Natale_Di_Piazza,male,legislatura03,no
Natale_Di_Piazza,male,legislatura04,no
Mario_Ottieri,male,legislatura03,no
Mario_Ottieri,male,legislatura04,no
Riccardo_Fabbri,male,legislatura03,no
Riccardo_Fabbri,male,legislatura04,no
Nicola_Fasano,male,legislatura03,no
Antonio_Caldoro,male,legislatura05,no
Antonio_Caldoro,male,legislatura06,no
Antonio_Caldoro,male,legislatura07,no
Antonio_Caldoro,male,legislatura08,no
Antonio_Caldoro,male,legislatura09,no
Gioacchino_Lauro,male,legislatura03,no
Gioacchino_Lauro,male,legislatura04,no
Gioacchino_Lauro,male,legislatura05,no
Giovanni_Arenella,male,legislatura03,no
Giovanni_Arenella,male,legislatura04,no
Giulio_Goehring,male,legislatura04,no
Roberto_Marmugi,male,legislatura05,no
Roberto_Marmugi,male,legislatura06,no
Alessandro_Canestrari,male,legislatura03,no
Alessandro_Canestrari,male,legislatura04,no
Alessandro_Canestrari,male,legislatura05,no
Alessandro_Canestrari,male,legislatura06,no
Michele_Capra,male,legislatura05,no
Michele_Capra,male,legislatura06,no
Giovanni_Oreste_Villa,male,legislatura03,no
Giuliano_De_Laurentiis,male,legislatura05,no
Giuliano_De_Laurentiis,male,legislatura06,no
Luciano_Romagnoli,male,legislatura03,no
Luciano_Romagnoli,male,legislatura04,no
Umberto_Zurlini,male,legislatura03,no
Umberto_Zurlini,male,legislatura05,no
Mauro_Silvano_Lombardi,male,legislatura05,no
Mauro_Silvano_Lombardi,male,legislatura06,no
Luigi_Castagno,male,legislatura03,no
Luigi_Zanoni,male,legislatura02,no
Carlo_Olmini,male,legislatura04,no
Carlo_Olmini,male,legislatura05,no
Amedeo_Rubeo,male,legislatura02,no
Amedeo_Rubeo,male,legislatura04,no
Paolo_Angelino,male,legislatura02,no
Paolo_Angelino,male,legislatura03,no
Paolo_Angelino,male,legislatura04,no
Giuseppe_Carra',male,legislatura06,no
Giuseppe_Carra',male,legislatura07,no
Giuseppe_Carra',male,legislatura08,no
Giuseppe_Balasso,male,legislatura05,no
Giuseppe_Balasso,male,legislatura06,no
Alessandro_Carri,male,legislatura06,no
Achille_Cruciani,male,legislatura03,no
Achille_Cruciani,male,legislatura04,no
Giulio_Montelatici,male,legislatura01,no
Giulio_Montelatici,male,legislatura02,no
Luigi_Grassi,male,legislatura01,no
Francesco_Verga,male,legislatura04,no
Francesco_Verga,male,legislatura05,no
Francesco_Verga,male,legislatura06,no
Giacomo_Calandrone,male,legislatura01,no
Giacomo_Calandrone,male,legislatura02,no
Gianfranco_Rocelli,male,legislatura06,no
Gianfranco_Rocelli,male,legislatura07,no
Gianfranco_Rocelli,male,legislatura08,no
Gianfranco_Rocelli,male,legislatura09,no
Gianfranco_Rocelli,male,legislatura10,no
Domenico_Mezzadra,male,legislatura costituente,no
Luigi_Pintor,male,legislatura05,no
Luigi_Pintor,male,legislatura10,no
Arnaldo_Zucchini,male,legislatura05,no
Renato_Bastianelli,male,legislatura04,no
Renato_Bastianelli,male,legislatura05,no
Renato_Bastianelli,male,legislatura06,no
Falco_Accame,male,legislatura07,no
Falco_Accame,male,legislatura08,no
Nicola_Adamo,male,legislatura07,no
Nicola_Adamo,male,legislatura08,no
Nicola_Adamo,male,legislatura15,no
Nicola_Adamo,male,legislatura07,no
Nicola_Adamo,male,legislatura08,no
Nicola_Adamo,male,legislatura15,no
Guido_Alborghetti,male,legislatura07,no
Guido_Alborghetti,male,legislatura08,no
Guido_Alborghetti,male,legislatura09,no
Guido_Alborghetti,male,legislatura10,no
Francesco_Alici,male,legislatura07,no
Francesco_Alici,male,legislatura08,no
Abdon_Alinovi,male,legislatura07,no
Abdon_Alinovi,male,legislatura08,no
Abdon_Alinovi,male,legislatura09,no
Abdon_Alinovi,male,legislatura10,no
Domenico_Amalfitano,male,legislatura07,no
Domenico_Amalfitano,male,legislatura08,no
Domenico_Amalfitano,male,legislatura09,no
Domenico_Amalfitano,male,legislatura10,no
Giuseppe_Amarante,male,legislatura07,no
Giuseppe_Amarante,male,legislatura08,no
Franco_Ambrogio,male,legislatura07,no
Franco_Ambrogio,male,legislatura08,no
Franco_Ambrogio,male,legislatura09,no
Cesare_Amici,male,legislatura07,no
Cesare_Amici,male,legislatura08,no
Gaetano_Angius,male,legislatura07,no
Aldo_Aniasi,male,legislatura07,no
Aldo_Aniasi,male,legislatura08,no
Aldo_Aniasi,male,legislatura09,no
Aldo_Aniasi,male,legislatura10,no
Aldo_Aniasi,male,legislatura11,no
Varese_Antoni,male,legislatura07,no
Varese_Antoni,male,legislatura08,no
Varese_Antoni,male,legislatura09,no
