Governo,Ministro,nome,cognome,legislatura
II Governo Prodi,Ministro delle Politiche per la famiglia,ROSARIA,BINDI,legislatura 15
II Governo Prodi,Ministro per le Politiche giovanili e le attività sportive,GIOVANNA,MELANDRI,legislatura 15
III Governo Berlusconi,Ministro senza portafoglio per le Pari opportunità,STEFANIA,PRESTIGIACOMO,legislatura 14
I Governo Letta,Ministro degli Affari Esteri,EMMA,BONINO,legislatura 17
I Governo Letta,Ministro della Salute,BEATRICE,LORENZIN,legislatura 17
I Governo Letta,Ministro delle Politiche Agricole Alimentari e Forestali,NUNZIA,DE GIROLAMO,legislatura 17
I Governo Letta,Ministro della Giustizia,ANNA MARIA,CANCELLIERI,legislatura 17
I Governo Letta,Vice Ministro degli Affari esteri,MARTA,DASSU',legislatura 17
I Governo Letta,Ministro senza portafoglio per l'Integrazione,KASHETU,KYENGE,legislatura 17
I Governo Letta,"Ministro dell'Istruzione, dell'Università e della Ricerca",MARIA CHIARA,CARROZZA,legislatura 17
I Governo Letta,"Ministro senza portafoglio per le Pari Opportunità, lo Sport e le Politiche Giovanili",JOSEFA,IDEM,legislatura 17
IV Governo Berlusconi,Ministro dell'Ambiente e della tutela del territorio e del mare,STEFANIA,PRESTIGIACOMO,legislatura 16
IV Governo Berlusconi,"Ministro dell'istruzione, dell'università e della ricerca",MARIASTELLA,GELMINI,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio per le pari opportunità,MARIA ROSARIA,CARFAGNA,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio,MARIA ROSARIA,CARFAGNA,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio per le politiche per i giovani,GIORGIA,MELONI,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio,GIORGIA,MELONI,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio della gioventù,GIORGIA,MELONI,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio,MICHELA VITTORIA,BRAMBILLA,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio per il Turismo,MICHELA VITTORIA,BRAMBILLA,legislatura 16
IV Governo Berlusconi,Ministro senza portafoglio per le politiche europee,ANNA MARIA,BERNINI,legislatura 16
IV Governo Berlusconi,Vice Ministro dello Sviluppo economico,CATIA,POLIDORI,legislatura 16
I Governo Monti,Ministro dell'Interno,ANNA MARIA,CANCELLIERI,legislatura 16
I Governo Monti,Ministro della Giustizia,PAOLA,SEVERINO DI BENEDETTO,legislatura 16
I Governo Monti,Ministro del Lavoro e delle politiche sociali,ELSA,FORNERO,legislatura 16
I Governo Monti,Vice Ministro affari esteri,MARTA,DASSU',legislatura 16
