Governo,Ministro,nome,cognome,legislatura_modificata
IV Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",CARLO,DONAT CATTIN,legislatura 07
I Governo Cossiga,Ministro della Marina Mercantile,FRANCO,EVANGELISTI,legislatura 08
III Governo Andreotti,Ministro della Marina Mercantile,FRANCESCO,FABBRI,legislatura 07
IV Governo Moro,Ministro della Difesa,ARNALDO,FORLANI,legislatura 06
V Governo Moro,Ministro della Difesa,ARNALDO,FORLANI,legislatura 06
III Governo Andreotti,Ministro degli Affari Esteri,ARNALDO,FORLANI,legislatura 07
IV Governo Andreotti,Ministro degli Affari Esteri,ARNALDO,FORLANI,legislatura 07
V Governo Andreotti,Ministro degli Affari Esteri,ARNALDO,FORLANI,legislatura 07
VII Governo De Gasperi,Ministro del Lavoro e della Previdenza Sociale,LEOPOLDO,RUBINACCI,legislatura 01
III Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,TINA,ANSELMI,legislatura 07
IV Governo Andreotti,Ministro della Sanità,TINA,ANSELMI,legislatura 07
V Governo Andreotti,Ministro della Sanità,TINA,ANSELMI,legislatura 07
III Governo Andreotti,Ministro del Turismo e Spettacolo,DARIO,ANTONIOZZI,legislatura 07
IV Governo Andreotti,Ministro dei Beni Culturali e Ambientali,DARIO,ANTONIOZZI,legislatura 07
V Governo Andreotti,Ministro dei Beni Culturali e Ambientali,DARIO,ANTONIOZZI,legislatura 07
IV Governo Moro,Ministro della Marina Mercantile,GIOVANNI,GIOIA,legislatura 06
V Governo Moro,Ministro della Marina Mercantile,GIOVANNI,GIOIA,legislatura 06
IV Governo Moro,Ministro delle Poste e Telecomunicazioni,GIULIO,ORLANDO,legislatura 06
V Governo Moro,Ministro delle Poste e delle Telecomunicazioni,GIULIO,ORLANDO,legislatura 06
I Governo Cossiga,Ministro della Marina Mercantile,NICOLA,SIGNORELLO,legislatura 08
III Governo Andreotti,MInistro del Bilancio e della Programmazione Economica,TOMMASO,MORLINO,legislatura 07
IV Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,TOMMASO,MORLINO,legislatura 07
V Governo Andreotti,Ministro di Grazia e Giustizia,TOMMASO,MORLINO,legislatura 07
I Governo Cossiga,Ministro di Grazia e Giustizia,TOMMASO,MORLINO,legislatura 08
IV Governo Moro,Ministro senza Portafoglio,TOMMASO,MORLINO,legislatura 06
V Governo Moro,Ministro senza Portafoglio,TOMMASO,MORLINO,legislatura 06
IV Governo Moro,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,legislatura 06
V Governo Moro,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,legislatura 06
III Governo Andreotti,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,legislatura 07
IV Governo Andreotti,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,legislatura 07
V Governo Andreotti,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,legislatura 07
I Governo Cossiga,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,legislatura 08
V Governo Moro,Ministro di Grazia e Giustizia,FRANCESCO PAOLO,BONIFACIO,legislatura 06
III Governo Andreotti,Ministro di Grazia e Giustizia,FRANCESCO PAOLO,BONIFACIO,legislatura 07
IV Governo Andreotti,Ministro di Grazia e Giustizia,FRANCESCO PAOLO,BONIFACIO,legislatura 07
V Governo Moro,Ministro delle Finanze,GAETANO,STAMMATI,legislatura 06
III Governo Andreotti,Ministro del Tesoro,GAETANO,STAMMATI,legislatura 07
IV Governo Andreotti,Ministro dei Lavori Pubblici,GAETANO,STAMMATI,legislatura 07
V Governo Andreotti,Ministro del Commercio con l'Estero,GAETANO,STAMMATI,legislatura 07
I Governo Cossiga,Ministro del Commercio con l'Estero,GAETANO,STAMMATI,legislatura 08
IV Governo Andreotti,Ministro del Turismo e Spettacolo,CARLO,PASTORINO,legislatura 07
III Governo Andreotti,MInistro del Commercio con l'Estero,RINALDO,OSSOLA,legislatura 07
IV Governo Andreotti,Ministro del Commercio con l'Estero,RINALDO,OSSOLA,legislatura 07
I Governo Cossiga,Ministro senza Portafoglio,MASSIMO SEVERO,GIANNINI,legislatura 08
I Governo Cossiga,Ministro delle Partecipazioni Statali,SIRO,LOMBARDINI,legislatura 08
IV Governo Moro,Ministro dell'Interno,LUIGI,GUI,legislatura 06
IV Governo Moro,Ministro della Sanità,ANTONINO,GULLOTTI,legislatura 06
V Governo Moro,Ministro dei Lavori Pubblici,ANTONINO,GULLOTTI,legislatura 06
III Governo Andreotti,Ministro dei Lavori Pubblici,ANTONINO,GULLOTTI,legislatura 07
IV Governo Andreotti,MInistro delle Poste e Telecomunicazioni,ANTONINO,GULLOTTI,legislatura 07
III Governo Andreotti,Ministro dei Trasporti,VITO,LATTANZIO,legislatura 07
III Governo Andreotti,Ministro della Marina Mercantile,VITO,LATTANZIO,legislatura 07
III Governo Andreotti,Ministro della Difesa,VITO,LATTANZIO,legislatura 07
IV Governo Moro,MInistro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,legislatura 06
V Governo Moro,Ministro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,legislatura 06
III Governo Andreotti,Ministro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,legislatura 07
IV Governo Andreotti,Ministro delle Finanze,FRANCO MARIA,MALFATTI,legislatura 07
V Governo Andreotti,Ministro delle Finanze,FRANCO MARIA,MALFATTI,legislatura 07
I Governo Cossiga,Ministro degli Affari Esteri,FRANCO MARIA,MALFATTI,legislatura 08
V Governo Moro,Ministro dell'Interno,ALDO,MORO,legislatura 06
V Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",FRANCO,NICOLAZZI,legislatura 07
I Governo Cossiga,Ministro dei Lavori Pubblici,FRANCO,NICOLAZZI,legislatura 08
III Governo Andreotti,Ministro delle Finanze,FILIPPO MARIA,PANDOLFI,legislatura 07
IV Governo Andreotti,Ministro del Tesoro,FILIPPO MARIA,PANDOLFI,legislatura 07
V Governo Andreotti,Ministro del Tesoro,FILIPPO MARIA,PANDOLFI,legislatura 07
I Governo Cossiga,Ministro del Tesoro,FILIPPO MARIA,PANDOLFI,legislatura 08
V Governo Moro,Ministro dei Beni Culturali e Ambientali,MARIO,PEDINI,legislatura 06
III Governo Andreotti,Ministro dei Beni Culturali e Ambientali,MARIO,PEDINI,legislatura 07
IV Governo Andreotti,Ministro della Pubblica Istruzione,MARIO,PEDINI,legislatura 07
IV Governo Moro,Ministro senza Portafoglio,MARIO,PEDINI,legislatura 06
V Governo Andreotti,Ministro dei Trasporti,LUIGI,PRETI,legislatura 07
V Governo Andreotti,MInistro della Marina Mercantile,LUIGI,PRETI,legislatura 07
I Governo Cossiga,Ministro dei Trasporti,LUIGI,PRETI,legislatura 08
IV Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",ROMANO,PRODI,legislatura 07
IV Governo Andreotti,Ministro dell'Interno,VIRGINIO,ROGNONI,legislatura 07
V Governo Andreotti,Ministro dell'Interno,VIRGINIO,ROGNONI,legislatura 07
I Governo Cossiga,Ministro dell'Interno,VIRGINIO,ROGNONI,legislatura 08
III Governo Andreotti,Ministro dei Trasporti,ATTILIO,RUFFINI,legislatura 07
III Governo Andreotti,Ministro della Marina Mercantile,ATTILIO,RUFFINI,legislatura 07
III Governo Andreotti,Ministro della Difesa,ATTILIO,RUFFINI,legislatura 07
IV Governo Andreotti,Ministro della Difesa,ATTILIO,RUFFINI,legislatura 07
V Governo Andreotti,Ministro della Difesa,ATTILIO,RUFFINI,legislatura 07
I Governo Cossiga,Ministro della Difesa,ATTILIO,RUFFINI,legislatura 08
IV Governo Moro,Ministro degli Affari Esteri,MARIANO,RUMOR,legislatura 06
V Governo Moro,Ministro degli Affari Esteri,MARIANO,RUMOR,legislatura 06
IV Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,VINCENZO,SCOTTI,legislatura 07
V Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,VINCENZO,SCOTTI,legislatura 07
V Governo Rumor,Ministro di Grazia e Giustizia,MARIO,ZAGARI,legislatura 06
V Governo Rumor,Ministro del Lavoro e della Previdenza Sociale,LUIGI,BERTOLDI,legislatura 06
V Governo Rumor,MInistro dell'Agricoltura e Foreste,ANTONIO,BISAGLIA,legislatura 06
IV Governo Moro,Ministro delle Partecipazioni Statali,ANTONIO,BISAGLIA,legislatura 06
V Governo Moro,Ministro delle Partecipazioni Statali,ANTONIO,BISAGLIA,legislatura 06
III Governo Andreotti,Ministro delle Partecipazioni Statali,ANTONIO,BISAGLIA,legislatura 07
IV Governo Andreotti,Ministro delle Partecipazioni Statali,ANTONIO,BISAGLIA,legislatura 07
V Governo Andreotti,Ministro delle Partecipazioni Statali,ANTONIO,BISAGLIA,legislatura 07
VII Governo De Gasperi,Ministro della Difesa,RANDOLFO,PACCIARDI,legislatura 01
I Governo Craxi,Ministro degli Affari Esteri,GIULIO,ANDREOTTI,legislatura 09
I Governo Craxi,Ministro delle Finanze,BRUNO,VISENTINI,legislatura 09
I Governo Craxi,Ministro della Marina Mercantile,GIANUARIO,CARTA,legislatura 09
II Governo Cossiga,Ministro della Sanità,ALDO,ANIASI,legislatura 08
I Governo Forlani,Ministro della Sanità,ALDO,ANIASI,legislatura 08
I Governo Spadolini,Ministro senza Portafoglio,ALDO,ANIASI,legislatura 08
II Governo Spadolini,Ministro senza Portafoglio,ALDO,ANIASI,legislatura 08
I Governo Spadolini,Ministro del Commercio con l'Estero,NICOLA,CAPRIA,legislatura 08
II Governo Spadolini,Ministro del Commercio con l'Estero,NICOLA,CAPRIA,legislatura 08
V Governo Fanfani,Ministro del Commercio con l'Estero,NICOLA,CAPRIA,legislatura 08
I Governo Craxi,Ministro del Commercio con l'Estero,NICOLA,CAPRIA,legislatura 09
II Governo Cossiga,Ministro senza Portafoglio,NICOLA,CAPRIA,legislatura 08
I Governo Forlani,MInistro senza Portafoglio,NICOLA,CAPRIA,legislatura 08
II Governo Cossiga,Ministro delle Poste e Telecomunicazioni,CLELIO,DARIDA,legislatura 08
I Governo Forlani,Ministro di Grazia e Giustizia,CLELIO,DARIDA,legislatura 08
I Governo Spadolini,Ministro di Grazia e Giustizia,CLELIO,DARIDA,legislatura 08
II Governo Spadolini,Ministro di Grazia e Giustizia,CLELIO,DARIDA,legislatura 08
V Governo Fanfani,Ministro di Grazia e Giustizia,CLELIO,DARIDA,legislatura 08
I Governo Craxi,Ministro delle Partecipazioni Statali,CLELIO,DARIDA,legislatura 09
I Governo Forlani,Ministro senza Portafoglio,CLELIO,DARIDA,legislatura 08
II Governo Cossiga,Ministro delle Partecipazioni Statali,GIANNI,DE MICHELIS,legislatura 08
I Governo Forlani,MInistro delle Partecipazioni Statali,GIANNI,DE MICHELIS,legislatura 08
I Governo Spadolini,Ministro delle Partecipazioni Statali,GIANNI,DE MICHELIS,legislatura 08
II Governo Spadolini,Ministro delle Partecipazioni Statali,GIANNI,DE MICHELIS,legislatura 08
V Governo Fanfani,Ministro delle Partecipazioni Statali,GIANNI,DE MICHELIS,legislatura 08
I Governo Craxi,Ministro del Lavoro e della Previdenza Sociale,GIANNI,DE MICHELIS,legislatura 09
I Governo Craxi,Ministro del Bilancio e della Programmazione Economica,PIETRO,LONGO,legislatura 09
I Governo Spadolini,Ministro della Marina Mercantile,CALOGERO,MANNINO,legislatura 08
II Governo Spadolini,Ministro della Marina Mercantile,CALOGERO,MANNINO,legislatura 08
V Governo Fanfani,Ministro dell'Agricoltura e Foreste,CALOGERO,MANNINO,legislatura 08
V Governo Fanfani,Ministro dei Beni Culturali e Ambientali,NICOLA,VERNOLA,legislatura 08
I Governo Craxi,Ministro senza Portafoglio,CARLO,VIZZINI,legislatura 09
I Governo Craxi,MInistro senza Portafoglio,VALERIO,ZANONE,legislatura 09
I Governo Spadolini,Ministro della Sanità,RENATO,ALTISSIMO,legislatura 08
II Governo Spadolini,Ministro della Sanità,RENATO,ALTISSIMO,legislatura 08
V Governo Fanfani,Ministro della Sanità,RENATO,ALTISSIMO,legislatura 08
I Governo Craxi,"Ministro dell'Industria, Commercio e Artigianato",RENATO,ALTISSIMO,legislatura 09
II Governo Cossiga,Ministro degli Affari Esteri,EMILIO,COLOMBO,legislatura 08
I Governo Forlani,Ministro degli Affari Esteri,EMILIO,COLOMBO,legislatura 08
I Governo Spadolini,Ministro degli Affari Esteri,EMILIO,COLOMBO,legislatura 08
II Governo Spadolini,Ministro degli Affari Esteri,EMILIO,COLOMBO,legislatura 08
V Governo Fanfani,Ministro degli Affari Esteri,EMILIO,COLOMBO,legislatura 08
II Governo Cossiga,Ministro dei Lavori Pubblici,FRANCESCO,COMPAGNA,legislatura 08
I Governo Forlani,Ministro della Marina Mercantile,FRANCESCO,COMPAGNA,legislatura 08
I Governo Craxi,Ministro del Bilancio e della Programmazione Economica,BENEDETTO,CRAXI,legislatura 09
II Governo Cossiga,Ministro della Pubblica Istruzione,ADOLFO,SARTI,legislatura 08
I Governo Forlani,Ministro di Grazia e Giustizia,ADOLFO,SARTI,legislatura 08
I Governo Spadolini,Ministro senza Portafoglio,LUCIO GUSTAVO,ABIS,legislatura 08
II Governo Spadolini,Ministro senza Portafoglio,LUCIO GUSTAVO,ABIS,legislatura 08
V Governo Fanfani,Ministro senza Portafoglio,LUCIO GUSTAVO,ABIS,legislatura 08
I Governo Craxi,Ministro senza Portafoglio,SALVERINO,DE VITO,legislatura 09
V Governo Fanfani,Ministro senza Portafoglio,FABIO,FABBRI,legislatura 08
I Governo Craxi,Ministro senza Portafoglio,LUIGI,GRANELLI,legislatura 09
II Governo Cossiga,Ministro delle Finanze,FRANCO,REVIGLIO,legislatura 08
I Governo Forlani,Ministro delle Finanze,FRANCO,REVIGLIO,legislatura 08
II Governo Cossiga,Ministro senza Portafoglio,VINCENZO,RUSSO,legislatura 08
I Governo Craxi,Ministro della Difesa,GIOVANNI,SPADOLINI,legislatura 09
II Governo Cossiga,Ministro del Turismo e Spettacolo,BERNARDO,D'AREZZO,legislatura 08
V Governo Fanfani,Ministro senza Portafoglio,ALFREDO,BIONDI,legislatura 08
I Governo Craxi,Ministro senza Portafoglio,ALFREDO,BIONDI,legislatura 09
V Governo Fanfani,Ministro dei Trasporti,MARIO,CASALINUOVO,legislatura 08
I Governo Craxi,Ministro della Sanità,COSTANTE,DEGAN,legislatura 09
V Governo Fanfani,Ministro delle Finanze,FRANCESCO,FORTE,legislatura 08
I Governo Craxi,Ministro senza Portafoglio,FRANCESCO,FORTE,legislatura 09
II Governo Cossiga,Ministro della Difesa,LELIO,LAGORIO,legislatura 08
I Governo Forlani,Ministro della Difesa,LELIO,LAGORIO,legislatura 08
I Governo Spadolini,Ministro della Difesa,LELIO,LAGORIO,legislatura 08
II Governo Spadolini,Ministro della Difesa,LELIO,LAGORIO,legislatura 08
V Governo Fanfani,Ministro della Difesa,LELIO,LAGORIO,legislatura 08
I Governo Craxi,Ministro del Turismo e Spettacolo,LELIO,LAGORIO,legislatura 09
I Governo Forlani,Ministro del Tesoro,BENIAMINO,ANDREATTA,legislatura 08
I Governo Spadolini,Ministro del Tesoro,BENIAMINO,ANDREATTA,legislatura 08
II Governo Spadolini,Ministro del Tesoro,BENIAMINO,ANDREATTA,legislatura 08
II Governo Cossiga,Ministro senza Portafoglio,BENIAMINO,ANDREATTA,legislatura 08
I Governo Forlani,Ministro delle Poste e Telecomunicazioni,MICHELE,DI GIESI,legislatura 08
I Governo Spadolini,Ministro del Lavoro e della Previdenza Sociale,MICHELE,DI GIESI,legislatura 08
II Governo Spadolini,Ministro del Lavoro e della Previdenza Sociale,MICHELE,DI GIESI,legislatura 08
V Governo Fanfani,Ministro della Marina Mercantile,MICHELE,DI GIESI,legislatura 08
II Governo Cossiga,Ministro dei Trasporti,SALVATORE,FORMICA,legislatura 08
I Governo Forlani,Ministro dei Trasporti,SALVATORE,FORMICA,legislatura 08
I Governo Spadolini,Ministro delle Finanze,SALVATORE,FORMICA,legislatura 08
II Governo Spadolini,Ministro delle Finanze,SALVATORE,FORMICA,legislatura 08
V Governo Fanfani,Ministro senza Portafoglio,LORIS,FORTUNA,legislatura 08
II Governo Cossiga,Ministro del Lavoro e della Previdenza Sociale,FRANCO,FOSCHI,legislatura 08
I Governo Forlani,Ministro del Lavoro e della Previdenza Sociale,FRANCO,FOSCHI,legislatura 08
I Governo Spadolini,Ministro delle Poste e Telecomunicazioni,REMO,GASPARI,legislatura 08
II Governo Spadolini,Ministro delle Poste e Telecomunicazioni,REMO,GASPARI,legislatura 08
V Governo Fanfani,Ministro delle Poste e Telecomunicazioni,REMO,GASPARI,legislatura 08
II Governo Cossiga,Ministro senza Portafoglio,REMO,GASPARI,legislatura 08
I Governo Forlani,Ministro senza Portafoglio,ANTONIO,GAVA,legislatura 08
I Governo Spadolini,Ministro senza Portafoglio,DANTE,SCHIETROMA,legislatura 08
II Governo Spadolini,Ministro senza Portafoglio,DANTE,SCHIETROMA,legislatura 08
V Governo Fanfani,Ministro senza Portafoglio,DANTE,SCHIETROMA,legislatura 08
II Governo Cossiga,Ministro della Marina Mercantile,NICOLA,SIGNORELLO,legislatura 08
I Governo Forlani,Ministro del Turismo e Spettacolo,NICOLA,SIGNORELLO,legislatura 08
I Governo Spadolini,Ministro del Turismo e Spettacolo,NICOLA,SIGNORELLO,legislatura 08
II Governo Spadolini,Ministro del Turismo e Spettacolo,NICOLA,SIGNORELLO,legislatura 08
V Governo Fanfani,Ministro del Turismo e Spettacolo,NICOLA,SIGNORELLO,legislatura 08
II Governo Cossiga,Ministro di Grazie e Giustizia,TOMMASO,MORLINO,legislatura 08
II Governo Cossiga,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,legislatura 08
I Governo Spadolini,"Ministro dell'Industria, Commercio e Artigianato",GIOVANNI ANDREA,MARCORA,legislatura 08
II Governo Spadolini,"Ministro dell'Industria, Commercio e Artigianato",GIOVANNI ANDREA,MARCORA,legislatura 08
V Governo Fanfani,Ministro della Pubblica Istruzione,FRANCA,FALCUCCI,legislatura 08
II Governo Cossiga,Ministro senza Portafoglio,MASSIMO SEVERO,GIANNINI,legislatura 08
I Governo Forlani,Ministro dell'Agricoltura e Foreste,GIUSEPPE,BARTOLOMEI,legislatura 08
I Governo Spadolini,Ministro dell'Agricoltura e Foreste,GIUSEPPE,BARTOLOMEI,legislatura 08
II Governo Spadolini,Ministro dell'Agricoltura e Foreste,GIUSEPPE,BARTOLOMEI,legislatura 08
II Governo Cossiga,Ministro del Bilancio e della Programmazione Economica,GIORGIO,LA MALFA,legislatura 08
I Governo Forlani,Ministro del Bilancio e della Programmazione Economica,GIORGIO,LA MALFA,legislatura 08
I Governo Spadolini,Ministro del Bilancio e della Programmazione Economica,GIORGIO,LA MALFA,legislatura 08
II Governo Spadolini,Ministro del Bilancio e della Programmazione Economica,GIORGIO,LA MALFA,legislatura 08
II Governo Cossiga,Ministro del Commercio con l'Estero,ENRICO,MANCA,legislatura 08
I Governo Forlani,MInistro del Commercio con l'Estero,ENRICO,MANCA,legislatura 08
I Governo Forlani,Ministro senza Portafoglio,ROBERTO,MAZZOTTA,legislatura 08
I Governo Forlani,Ministro dei Lavori Pubblici,FRANCO,NICOLAZZI,legislatura 08
I Governo Spadolini,Ministro dei Lavori Pubblici,FRANCO,NICOLAZZI,legislatura 08
II Governo Spadolini,Ministro dei Lavori Pubblici,FRANCO,NICOLAZZI,legislatura 08
V Governo Fanfani,Ministro dei Lavori Pubblici,FRANCO,NICOLAZZI,legislatura 08
II Governo Cossiga,Ministro del Tesoro,FILIPPO MARIA,PANDOLFI,legislatura 08
I Governo Forlani,"Ministro dell'Industria, Commercio e Artigianato",FILIPPO MARIA,PANDOLFI,legislatura 08
V Governo Fanfani,"Ministro dell'Industria, Commercio e Artigianato",FILIPPO MARIA,PANDOLFI,legislatura 08
I Governo Spadolini,Ministro senza Portafoglio,LUCIANO,RADI,legislatura 08
II Governo Spadolini,Ministro senza Portafoglio,LUCIANO,RADI,legislatura 08
II Governo Cossiga,Ministro dell'Interno,VIRGINIO,ROGNONI,legislatura 08
I Governo Forlani,Ministro dell'Interno,VIRGINIO,ROGNONI,legislatura 08
I Governo Spadolini,Ministro dell'Interno,VIRGINIO,ROGNONI,legislatura 08
II Governo Spadolini,Ministro dell'Interno,VIRGINIO,ROGNONI,legislatura 08
V Governo Fanfani,Ministro dell'Interno,VIRGINIO,ROGNONI,legislatura 08
I Governo Forlani,Ministro senza Portafoglio,PIER LUIGI,ROMITA,legislatura 08
V Governo Fanfani,Ministro senza Portafoglio,PIER LUIGI,ROMITA,legislatura 08
I Governo Cossiga,Ministro degli Affari Esteri,ATTILIO,RUFFINI,legislatura 08
I Governo Cossiga,Ministro del Lavoro e della Previdenza Sociale,VINCENZO,SCOTTI,legislatura 08
I Governo Spadolini,Ministro dei Beni Culturali e Ambientali,VINCENZO,SCOTTI,legislatura 08
II Governo Spadolini,Ministro dei Beni Culturali e Ambientali,VINCENZO,SCOTTI,legislatura 08
V Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,VINCENZO,SCOTTI,legislatura 08
II Governo Cossiga,Ministro senza Portafoglio,VINCENZO,SCOTTI,legislatura 08
I Governo Forlani,Ministro senza Portafoglio,VINCENZO,SCOTTI,legislatura 08
I Governo Spadolini,Ministro senza Portafoglio,CLAUDIO,SIGNORILE,legislatura 08
II Governo Spadolini,Ministro senza Portafoglio,CLAUDIO,SIGNORILE,legislatura 08
V Governo Fanfani,Ministro senza Portafoglio,CLAUDIO,SIGNORILE,legislatura 08
I Governo Spadolini,Ministro senza Portafoglio,GIANCARLO,TESINI,legislatura 08
II Governo Spadolini,Ministro senza Portafoglio,GIANCARLO,TESINI,legislatura 08
I Governo Spadolini,Ministro dei Trasporti,VINCENZO,BALZAMO,legislatura 08
II Governo Spadolini,Ministro dei Trasporti,VINCENZO,BALZAMO,legislatura 08
II Governo Cossiga,Ministro senza Portafoglio,VINCENZO,BALZAMO,legislatura 08
V Governo Fanfani,Ministro del Tesoro,GIOVANNI,GORIA,legislatura 08
I Governo Spadolini,Ministro senza Portafoglio,GIUSEPPE,ZAMBERLETTI,legislatura 08
II Governo Spadolini,Ministro senza Portafoglio,GIUSEPPE,ZAMBERLETTI,legislatura 08
II Governo Cossiga,Ministro dei Beni Culturali e Ambientali,ODDO,BIASINI,legislatura 08
I Governo Forlani,Ministro dei Beni Culturali e Ambientali,ODDO,BIASINI,legislatura 08
I Governo Cossiga,"Ministro dell'Industria, Commercio e Artigianato",ANTONIO,BISAGLIA,legislatura 08
II Governo Cossiga,"Ministro dell'Industria, Commercio e Artigianato",ANTONIO,BISAGLIA,legislatura 08
I Governo Forlani,"Ministro dell'Industria, Commercio e Artigianato",ANTONIO,BISAGLIA,legislatura 08
I Governo Forlani,Ministro della Pubblica Istruzione,GUIDO,BODRATO,legislatura 08
I Governo Spadolini,Ministro della Pubblica Istruzione,GUIDO,BODRATO,legislatura 08
II Governo Spadolini,Ministro della Pubblica Istruzione,GUIDO,BODRATO,legislatura 08
V Governo Fanfani,Ministro del Bilancio e della Programmazione Economica,GUIDO,BODRATO,legislatura 08
VIII Governo De Gasperi,Ministro della Marina Mercantile,BERNARDO,MATTARELLA,legislatura 02
VIII Governo De Gasperi,Ministro degli Affari Esteri,ALCIDE,DE GASPERI,legislatura 02
VIII Governo De Gasperi,Ministro della Pubblica Istruzione,GIUSEPPE MARIA,BETTIOL,legislatura 02
VIII Governo De Gasperi,Ministro di Grazia e Giustizia,GUIDO,GONELLA,legislatura 02
VIII Governo De Gasperi,Ministro senza Portafoglio,ATTILIO,PICCIONI,legislatura 02
II Governo Craxi,Ministro degli Affari esteri,GIULIO,ANDREOTTI,legislatura 09
VI Governo Fanfani,Ministro degli Affari Esteri,GIULIO,ANDREOTTI,legislatura 09
I Governo Goria,Ministro degli Affari Esteri,GIULIO,ANDREOTTI,legislatura 10
I Governo De Mita,Ministro degli Affari Esteri,GIULIO,ANDREOTTI,legislatura 10
VI Governo Andreotti,Ministro delle Partecipazioni statali,GIULIO,ANDREOTTI,legislatura 10
VIII Governo De Gasperi,Ministro del Lavori Pubblici,GIUSEPPE,SPATARO,legislatura 02
VIII Governo De Gasperi,Ministro del Commercio con l'Estero,PAOLO EMILIO,TAVIANI,legislatura 02
II Governo Craxi,Ministro delle Finanze,BRUNO,VISENTINI,legislatura 09
VIII Governo De Gasperi,Ministro dei Trasporti,GIUSEPPE,TOGNI,legislatura 02
VIII Governo De Gasperi,Ministro senza Portafoglio,PIETRO,CAMPILLI,legislatura 02
VIII Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,UMBERTO,MERLIN,legislatura 02
VIII Governo De Gasperi,Ministro delle Finanze,EZIO,VANONI,legislatura 02
VI Governo Andreotti,Ministro del Tesoro,GUIDO,CARLI,legislatura 10
II Governo Craxi,Ministro del Turismo e spettacolo,NICOLA,CAPRIA,legislatura 09
VI Governo Andreotti,Ministro del Bilancio e della Programmazione economica,PAOLO,CIRINO POMICINO,legislatura 10
I Governo De Mita,Ministro senza Portafoglio per la funzione pubblica,PAOLO,CIRINO POMICINO,legislatura 10
II Governo Craxi,Ministro delle Partecipazioni statali,CLELIO,DARIDA,legislatura 09
VI Governo Fanfani,Ministro delle Partecipazioni Statali,CLELIO,DARIDA,legislatura 09
II Governo Craxi,Ministro del Lavoro e della previdenza sociale,GIANNI,DE MICHELIS,legislatura 09
VI Governo Andreotti,Ministro degli Affari Esteri,GIANNI,DE MICHELIS,legislatura 10
I Governo Goria,Ministro dei Trasporti,CALOGERO,MANNINO,legislatura 10
I Governo De Mita,Ministro dell'Agricoltura e Foreste,CALOGERO,MANNINO,legislatura 10
VI Governo Andreotti,Ministro dell'Agricoltura e delle Foreste,CALOGERO,MANNINO,legislatura 10
I Governo Goria,Ministro dei Beni Culturali e Ambientali,CARLO,VIZZINI,legislatura 10
VI Governo Andreotti,Ministro della Marina Mercantile,CARLO,VIZZINI,legislatura 10
II Governo Craxi,Ministro senza Portafoglio,CARLO,VIZZINI,legislatura 09
II Governo Craxi,"Ministro dell'Industria, commercio e artigianato",VALERIO,ZANONE,legislatura 09
I Governo Goria,MInistro della Difesa,VALERIO,ZANONE,legislatura 10
I Governo De Mita,Ministro della Difesa,VALERIO,ZANONE,legislatura 10
VIII Governo De Gasperi,Ministro della Difesa,GIUSEPPE,CODACCI PISANELLI,legislatura 02
I Governo Goria,MInistro del BIlancio e della Programmazione Economica,EMILIO,COLOMBO,legislatura 10
I Governo De Mita,Ministro delle Finanze,EMILIO,COLOMBO,legislatura 10
VI Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,ERMANNO,GORRIERI,legislatura 09
VIII Governo De Gasperi,Ministro del Bilancio,GIUSEPPE,PELLA,legislatura 02
VIII Governo De Gasperi,Ministro del Tesoro,GIUSEPPE,PELLA,legislatura 02
VI Governo Andreotti,Ministro dei Trasporti,CARLO,BERNINI,legislatura 10
I Governo De Mita,Ministro dei Beni culturali e ambientali,VINCENZA,BONO,legislatura 10
II Governo Craxi,Ministro senza Portafoglio,SALVERINO,DE VITO,legislatura 09
VI Governo Fanfani,Ministro senza Portafoglio,SALVERINO,DE VITO,legislatura 09
II Governo Craxi,Ministro senza Portafoglio,FABIO,FABBRI,legislatura 09
I Governo Goria,Ministro dell'Interno,AMINTORE,FANFANI,legislatura 10
I Governo De Mita,MInistro del BIlancio e della Programmazione economica,AMINTORE,FANFANI,legislatura 10
VIII Governo De Gasperi,Ministro dell'Interno,AMINTORE,FANFANI,legislatura 02
I Governo Goria,Ministro delle Partecipazioni Statali,LUIGI,GRANELLI,legislatura 10
