Governo,Ministro,nome,cognome,legislatura_modificata
II Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,PAOLO EMILIO,TAVIANI,legislatura 06
IV Governo Rumor,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,legislatura 06
V Governo Rumor,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,legislatura 06
III Governo Rumor,Ministro senza Portafoglio,PAOLO EMILIO,TAVIANI,legislatura 05
I Governo Colombo,Ministro senza Portafoglio,PAOLO EMILIO,TAVIANI,legislatura 05
IV Governo Rumor,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,TOGNI,legislatura 06
V Governo Rumor,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,TOGNI,legislatura 06
IV Governo Rumor,Ministro del Tesoro,UGO,LA MALFA,legislatura 06
III Governo Rumor,Ministro del Turismo e Spettacolo,GIUSEPPE,LUPIS,legislatura 05
II Governo Andreotti,Ministro della Marina Mercantile,GIUSEPPE,LUPIS,legislatura 06
I Governo Colombo,Ministro senza Portafoglio,GIUSEPPE,LUPIS,legislatura 05
IV Governo Rumor,Ministro senza Portafoglio,GIUSEPPE,LUPIS,legislatura 06
V Governo Rumor,Ministro senza Portafoglio,GIUSEPPE,LUPIS,legislatura 06
III Governo Rumor,Ministro di Grazia e Giustizia,ORONZO,REALE,legislatura 05
I Governo Colombo,Ministro di Grazia e Giustizia,ORONZO,REALE,legislatura 05
IV Governo Rumor,MInistro senza Portafoglio,PIETRO,BUCALOSSI,legislatura 06
I Governo Andreotti,Ministro senza Portafoglio,ITALO GIULIO,CAIATI,legislatura 05
II Governo Andreotti,MInistro senza Portafoglio,ITALO GIULIO,CAIATI,legislatura 06
III Governo Rumor,MInistro dell'Interno,FRANCESCO,RESTIVO,legislatura 05
I Governo Colombo,Ministro dell'Interno,FRANCESCO,RESTIVO,legislatura 05
I Governo Andreotti,Ministro della Difesa,FRANCESCO,RESTIVO,legislatura 05
III Governo Rumor,Ministro del Tesoro,EMILIO,COLOMBO,legislatura 05
I Governo Colombo,Ministro di Grazia e Giustizia,EMILIO,COLOMBO,legislatura 05
I Governo Andreotti,Ministro del Tesoro,EMILIO,COLOMBO,legislatura 05
IV Governo Rumor,Ministro delle Finanze,EMILIO,COLOMBO,legislatura 06
