legislatura,incarico,conto
legislatura costituente,VICEPRESIDENTE,31
legislatura costituente,SEGRETARIO,31
legislatura costituente,QUESTORE,3
legislatura costituente,PRESIDENTE,21
legislatura 1,VICEPRESIDENTE,73
legislatura 1,PRESIDENTE,41
legislatura 1,SEGRETARIO,74
legislatura 1,QUESTORE,5
legislatura 1,RELATORE,7
legislatura 2,VICEPRESIDENTE,80
legislatura 2,SEGRETARIO,87
legislatura 2,PRESIDENTE,37
legislatura 2,QUESTORE,3
legislatura 3,VICEPRESIDENTE,63
legislatura 03,PRESIDENTE,43
legislatura 3,SEGRETARIO,64
legislatura 3,QUESTORE,3
legislatura 4,VICEPRESIDENTE,64
legislatura 4,SEGRETARIO,72
legislatura 4,PRESIDENTE,37
legislatura 4,QUESTORE,3
legislatura 5,PRESIDENTE,36
legislatura 5,SEGRETARIO,68
legislatura 5,VICEPRESIDENTE,59
legislatura 5,QUESTORE,3
legislatura 6,SEGRETARIO,67
legislatura 6,VICEPRESIDENTE,57
legislatura 6,PRESIDENTE,40
legislatura 6,QUESTORE,3
legislatura 7,VICEPRESIDENTE,69
legislatura 7,PRESIDENTE,30
legislatura 7,SEGRETARIO,52
legislatura 7,QUESTORE,4
legislatura 8,PRESIDENTE,46
legislatura 8,VICEPRESIDENTE,74
legislatura 8,SEGRETARIO,70
legislatura 8,QUESTORE,3
legislatura 9,PRESIDENTE,34
legislatura 9,VICEPRESIDENTE,51
legislatura 9,SEGRETARIO,72
legislatura 9,QUESTORE,5
legislatura 10,PRESIDENTE,47
legislatura 10,VICEPRESIDENTE,60
legislatura 10,SEGRETARIO,78
legislatura 10,QUESTORE,3
legislatura 11,PRESIDENTE,28
legislatura 11,VICEPRESIDENTE,54
legislatura 11,SEGRETARIO,63
legislatura 11,QUESTORE,2
legislatura 12,PRESIDENTE,29
legislatura 12,QUESTORE,2
legislatura 12,VICEPRESIDENTE,45
legislatura 12,SEGRETARIO,60
legislatura 13,VICEPRESIDENTE,75
legislatura 13,PRESIDENTE,45
legislatura 13,SEGRETARIO,76
legislatura 13,QUESTORE,2
legislatura 14,VICEPRESIDENTE,65
legislatura 14,PRESIDENTE,47
legislatura 14,QUESTORE,2
legislatura 14,CAPOGRUPPO,152
legislatura 14,SEGRETARIO,57
legislatura 14,DELEGATO AL COORDINAMENTO DELLE ATTIVITA',1
legislatura 15,CAPOGRUPPO,196
legislatura 15,VICEPRESIDENTE,49
legislatura 15,QUESTORE,3
legislatura 15,SEGRETARIO,53
legislatura 15,PRESIDENTE,37
legislatura 15,DELEGATO AL COORDINAMENTO DELLE ATTIVITA',1
legislatura 16,CAPOGRUPPO,169
legislatura 16,QUESTORE,3
legislatura 16,VICEPRESIDENTE,60
legislatura 16,PRESIDENTE,43
legislatura 16,SEGRETARIO,61
legislatura 16,COORDINATORE INELEGGIBILITA' E DECADENZE,1
legislatura 16,DELEGATO AL COORDINAMENTO DELLE ATTIVITA',2
legislatura 16,COORDINATORE INCOMPATIBILITA',1
legislatura 17,CAPOGRUPPO,215
legislaturar 17,PRESIDENTE,56
legislatura 17,VICEPRESIDENTE,69
legislatura 17,SEGRETARIO,69
legislatura 17,QUESTORE,3
legislatura 17,COORDINATORE INELEGGIBILITA' E DECADENZE,1
legislatura 17,COORDINATORE INCOMPATIBILITA',1
legislatura 18,VICEPRESIDENTE,59
legislatura 18,CAPOGRUPPO,183
legislatura 18,QUESTORE,5
legislatura 18,PRESIDENTE,51
legislatura 18,SEGRETARIO,74
legislatura 18,COORDINATORE INELEGGIBILITA' E DECADENZE,1
legislatura 18,COORDINATORE INCOMPATIBILITA',1
legislatura 19,SEGRETARIO,45
legislatura 19,CAPOGRUPPO,104
legislatura 19,PRESIDENTE,29
legislatura 19,VICEPRESIDENTE,28
legislatura 19,QUESTORE,3
legislatura 19,COORDINATORE INCOMPATIBILITA',1
