Governo,Ministro,Legislatura
II Governo Berlusconi,"Ministro dell'Istruzione, dell'università e della ricerca",legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per le Pari opportunità,legislatura 14
III Governo Berlusconi,"Ministro dell'Istruzione, dell'università e della ricerca",legislatura 14
III Governo Berlusconi,Ministro senza portafoglio per le Pari opportunità,legislatura 14
