regione,count
CAMPANIA,544
PIEMONTE,352
EMILIA-ROMAGNA,346
VENETO,388
ABRUZZO,135
PUGLIA,369
LOMBARDIA,657
SICILIA,495
LIGURIA,135
TOSCANA,328
CALABRIA,224
LAZIO,438
TRENTINO ALTO-ADIGE,76
FRIULI-VENEZIA-GIULIA,113
BASILICATA,79
UMBRIA,73
MARCHE,141
SARDEGNA,160
MOLISE,40
VALLE D'AOSTA,14

