Persona,legislatura
Anna_Finocchiaro,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Anna_Finocchiaro,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
Anna_Finocchiaro,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13
Anna_Finocchiaro,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Lucia_Fronza,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Lucia_Fronza,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Battistina_Fumagalli_Carulli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Battistina_Fumagalli_Carulli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Battistina_Fumagalli_Carulli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
Maria_Rita_Lorenzetti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Maria_Rita_Lorenzetti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Maria_Rita_Lorenzetti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
Maria_Rita_Lorenzetti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13
Nadia_Masini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
Nadia_Masini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
Nadia_Masini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
Katia_Bellillo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Katia_Bellillo,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Marina_Sereni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Marina_Sereni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Marina_Sereni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Marina_Sereni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Anna_Maria_Leone,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Francesca_Martini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Francesca_Martini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Carmen_Motta,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Carmen_Motta,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Carmen_Motta,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Rosella_Ottone,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Rosella_Ottone,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Dorina_Bianchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Dorina_Bianchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Dorina_Bianchi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Franca_Bimbi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Franca_Bimbi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Raffaella_Mariani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Raffaella_Mariani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Raffaella_Mariani,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Lorena_Milanato,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Lorena_Milanato,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Lorena_Milanato,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Lorena_Milanato,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Gabriella_Mondello,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Gabriella_Mondello,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Gabriella_Mondello,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Roberta_Pinotti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Roberta_Pinotti,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Jole_Santelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Jole_Santelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Jole_Santelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Jole_Santelli,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
Gabriella_Carlucci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Gabriella_Carlucci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Gabriella_Carlucci,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Erminia_Mazzoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Erminia_Mazzoni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Viviana_Beccalossi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Olga_Di_Serio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Olga_Di_Serio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Olga_Di_Serio,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Monica_Stefania_Baldi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Isabella_Bertolini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Isabella_Bertolini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Isabella_Bertolini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Margherita_Coluccini,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Beatrice_Maria_Magnolfi,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Silvana_Pisa,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Simonetta_Licastro_Scardino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Simonetta_Licastro_Scardino,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Carolina_Lussana,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
Carolina_Lussana,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
Carolina_Lussana,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
Chiara_Moroni,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
