regione,count
LOMBARDIA,131
PUGLIA,52
TRENTINO ALTO-ADIGE,16
PIEMONTE,72
LAZIO,91
FRIULI-VENEZIA-GIULIA,23
LIGURIA,24
TOSCANA,65
CAMPANIA,66
VENETO,68
MARCHE,30
EMILIA-ROMAGNA,82
SICILIA,67
ABRUZZO,14
UMBRIA,10
CALABRIA,28
SARDEGNA,24
VALLE D'AOSTA,2
BASILICATA,6
MOLISE,6
