Persona,legislatura,graduated
Silvana_Mura,16,no
Elisabetta_Gardini,15,no
Elisabetta_Gardini,16,no
Elisabetta_Gardini,19,no
Teresa_Bellanova,15,no
Teresa_Bellanova,16,no
Teresa_Bellanova,17,no
Donatella_Duranti,15,no
Donatella_Duranti,17,no
Paola_Pelino,15,no
Paola_Pelino,16,no
Donatella_Poretti,15,no
Rosalba_Cesini,15,no
Fiorella_Ceccacci,15,no
Fiorella_Ceccacci,16,no
Giorgia_Meloni,15,no
Giorgia_Meloni,16,no
Giorgia_Meloni,17,no
Giorgia_Meloni,18,no
Giorgia_Meloni,19,no
Lucia_Codurelli,15,no
Lucia_Codurelli,16,no
Michaela_Biancofiore,15,no
Michaela_Biancofiore,16,no
Michaela_Biancofiore,17,no
Michaela_Biancofiore,18,no
Mariella_Bocciardo,15,no
Mariella_Bocciardo,16,no
Giustina_Mistrello,15,no
Giustina_Mistrello,16,no
Laura_Molteni,16,no
Erica_Rivolta,16,no
Beatrice_Lorenzin,16,no
Beatrice_Lorenzin,17,no
Beatrice_Lorenzin,18,no
Manuela_Lanzarin,16,no
Emanuela_Munerato,16,no
Anna_Margherita_Miotto,16,no
Anna_Margherita_Miotto,17,no
Daniela_Sbrollini,16,no
Daniela_Sbrollini,17,no
Anna_Sanna,10,no
Anna_Sanna,11,no
Gianna_Serra,10,no
Gianna_Serra,11,no
Giovanna_Maria_Tealdi,10,no
Giovanna_Maria_Tealdi,11,no
Livia_Turco,10,no
Livia_Turco,11,no
Livia_Turco,12,no
Livia_Turco,13,no
Livia_Turco,14,no
Livia_Turco,16,no
Elisabetta_Bertotti,11,no
Elisabetta_Bertotti,12,no
Maura_Camoirano,11,no
Maura_Camoirano,12,no
Maura_Camoirano,13,no
Alda_Grassi,11,no
Tiziana_Maiolo,11,no
Tiziana_Maiolo,12,no
Tiziana_Maiolo,13,no
Alfonsina_Rinaldi,11,no
Alfonsina_Rinaldi,12,no
Adriana_Lodi,10,no
Adriana_Lodi,5,no
Adriana_Lodi,6,no
Adriana_Lodi,7,no
Adriana_Lodi,8,no
Adriana_Lodi,9,no
Angela_Bellei_Trenti,12,no
Emanuela_Cabrini,12,no
Mariella_Maria_Rita_Cavanna_Scirea,12,no
Mariella_Maria_Rita_Cavanna_Scirea,13,no
Francesca_Chiavacci,12,no
Francesca_Chiavacci,13,no
Elena_Emma_Cordoni,12,no
Elena_Emma_Cordoni,13,no
Elena_Emma_Cordoni,14,no
Elena_Emma_Cordoni,15,no
Daniela_Lauber,12,no
Rosaria_Lopedote,12,no
Maria_Mafai,12,no
Paola_Manzini,12,no
Paola_Manzini,13,no
Paola_Manzini,14,no
Paola_Mariani,12,no
Paola_Mariani,13,no
Paola_Mariani,14,no
Delia_Murer,16,no
Delia_Murer,17,no
Donella_Mattesini,16,no
Marialuisa_Gnecchi,16,no
Marialuisa_Gnecchi,17,no
Consolata_Golfo,16,no
Barbara_Saltamartini,16,no
Barbara_Saltamartini,17,no
Barbara_Saltamartini,18,no
Rita_Bernardini,16,no
Maria_Antonietta_Farina,16,no
Susanna_Cenni,16,no
Susanna_Cenni,17,no
Susanna_Cenni,18,no
Mariarosaria_Rossi,16,no
Giovanna_Negro,16,no
Maria_Antezza,17,no
Franca_Maria_Grazia_Biondelli,17,no
Tamara_Blazina,17,no
Tea_Albini,16,no
Tea_Albini,17,no
Sabina_Fabi,16,no
Tatiana_Basilio,17,no
Laura_Castelli,17,no
Laura_Castelli,18,no
Eleonora_Bechis,17,no
Marina_Berlinghieri,17,no
Marina_Berlinghieri,18,no
Gessica_Rostellato,17,no
Giovanna_Martelli,17,no
Floriana_Casellato,17,no
Sandra_Savino,17,no
Sandra_Savino,18,no
Roberta_Oliaro,17,no
Patrizia_Maestri,17,no
Maria_Valentina_Vezzali,17,no
Renata_Polverini,17,no
Renata_Polverini,18,no
Federica_Daga,17,no
Federica_Daga,18,no
Carla_Ruocco,17,no
Carla_Ruocco,18,no
Micaela_Campana,17,no
Micaela_Campana,18,no
Monica_Gregori,17,no
Vega_Colonnese,17,no
Cecilia_Ventricelli,17,no
Silvia_Giordano,17,no
Elisa_Mariano,17,no
Vanna_Iori,17,no
Irene_Tinagli,17,no
Chiara_Gribaudo,17,no
Chiara_Gribaudo,19,no
Chiara_Gribaudo,18,no
Emanuela_Corda,17,no
Emanuela_Corda,18,no
Chiara_Di_Benedetto,17,no
Azzurra_Pia_Maria_Cancelleri,17,no
Azzurra_Pia_Maria_Cancelleri,18,no
Luisella_Albanella,17,no
Rosanna_Scopelliti,17,no
Martina_Nardi,17,no
Martina_Nardi,18,no
Daniela_Matilde_Maria_Gasparini,17,no
Renata_Bueno,17,no
Angela_Nissoli,17,no
Angela_Nissoli,18,no
Maria_Iacono,17,no
Maruzza_Astolfi,4,no
Maruzza_Astolfi,6,no
Franca_Maria_Marino_Buccellato,12,no
Maria_Cristina_Matranga,12,no
Maria_Cristina_Matranga,13,no
Rosanna_Moroni,12,no
Rosanna_Moroni,13,no
Maria_Gabriella_Pinto,12,no
Maria_Gabriella_Pinto,14,no
Elisa_Pozza_Tasca,12,no
Elisa_Pozza_Tasca,13,no
Antonietta_Rizza,12,no
Antonietta_Rizza,13,no
Tomasa_Salvo,12,no
Giuseppina_Servodio,12,no
Giuseppina_Servodio,13,no
Giuseppina_Servodio,15,no
Giuseppina_Servodio,16,no
Carla_Stampacchia,12,no
Rosa_Stanisci,12,no
Rosa_Stanisci,13,no
Antonietta_Vascon,12,no
Tiziana_Valpiana,12,no
Tiziana_Valpiana,13,no
Tiziana_Valpiana,14,no
Ombretta_Comelli,12,no
Patrizia_Toia,12,no
Maria_Agostina_Pellegatta,6,no
Maria_Agostina_Pellegatta,7,no
Elena_Ciapusci,13,no
Argia_Valeria_Albanese,13,no
Franca_Gambato,13,no
Assunta_Malavenda,13,no
Daniela_Santandrea,13,no
Emiliana_Santoli,13,no
Marisa_Abbondanzieri,13,no
Marisa_Abbondanzieri,14,no
Luciana_Sgarbi_Bompani,5,no
Luciana_Sgarbi_Bompani,6,no
Renata_Talassi_Giorgi,6,no
Emilia_Calini,11,no
Maria_Alessi,3,no
Maria_Alessi,4,no
Maria_Badaloni,2,no
Maria_Badaloni,3,no
Maria_Badaloni,4,no
Maria_Badaloni,5,no
Ernesta_Belussi,6,no
Ernesta_Belussi,7,no
Ernesta_Belussi,8,no
Adele_Bei,costituente,no
Adele_Bei,2,no
Adele_Bei,3,no
Maria_Bernetic,4,no
Maria_Bianchi,2,no
Margherita_Bontade,1,no
Margherita_Bontade,2,no
Margherita_Bontade,3,no
Margherita_Bontade,4,no
Gina_Borellini,1,no
Gina_Borellini,2,no
Gina_Borellini,3,no
Laura_Diaz,1,no
Laura_Diaz,2,no
Laura_Diaz,3,no
Laura_Diaz,4,no
Gisella_Floreanini,1,no
Gisella_Floreanini,2,no
Nadia_Gallico,costituente,no
Nadia_Gallico,1,no
Nadia_Gallico,2,no
Nives_Gessi,4,no
Nives_Gessi,5,no
Pia_Lombardi,1,no
Ines_Boffardi,5,no
Ines_Boffardi,6,no
Ines_Boffardi,7,no
