gruppoPar,numeroDonne,numeroUomini,PercentualeDonne,PercentualeUomini
ALLEANZA VERDI E SINISTRA,4,8,33,67
AZIONE - ITALIA VIVA - RENEW EUROPE,9,12,43,57
FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE,12,32,27,73
FRATELLI D'ITALIA,37,81,31,69
LEGA - SALVINI PREMIER,18,48,27,73
MOVIMENTO 5 STELLE,23,29,44,56
NOI MODERATI,3,7,30,70
PARTITO DEMOCRATICO,1,0,100,0
PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,22,47,32,68
