Governo,Ministro,Legislatura
III Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,legislatura 07
IV Governo Andreotti,Ministro della Sanità,legislatura 07
V Governo Andreotti,Ministro della Sanità,legislatura 07
