Governo,Ministro,Legislatura
II Governo Conte,Ministro dell'Istruzione,legislatura 18
II Governo Conte,Ministro delle Infrastrutture e dei trasporti,legislatura 18
II Governo Conte,Ministro senza portafoglio per la pubblica amministrazione,legislatura 18
II Governo Conte,Ministro del Lavoro e delle politiche sociali,legislatura 18
II Governo Conte,"Ministro delle Politiche agricole alimentari, forestali e del turismo",legislatura 18
II Governo Conte,Ministro dell'Interno,legislatura 18
II Governo Conte,Ministro senza portafoglio per le Pari opportunità e la famiglia,legislatura 18
II Governo Conte,Ministro senza portafoglio per l'Innovazione tecnologica e la digitalizzazione,legislatura 18
I Governo Conte,Ministro per la Pubblica amministrazione,legislatura 18
I Governo Conte,Ministro per il Sud,legislatura 18
I Governo Conte,Ministro della Difesa,legislatura 18
I Governo Conte,Ministro senza portafoglio,legislatura 18
I Governo Conte,Ministro senza portafoglio,legislatura 18
I Governo Conte,Ministro senza portafoglio,legislatura 18
I Governo Conte,Ministro per gli Affari regionali e le autonomie,legislatura 18
I Governo Conte,Ministro della Salute,legislatura 18
I Governo Conte,Vice Ministro dell'Economia e delle finanze,legislatura 18
II Governo Conte,Vice Ministro dell'Economia e le finanze,legislatura 18
I Governo Conte,Viceministro agli Affari esteri e alla cooperazione internazionale,legislatura 18
I Governo Conte,Ministro per le disabilità e la famiglia,legislatura 18
I Governo Conte,Ministro senza portafoglio,legislatura 18
II Governo Conte,Ministro delle Politiche agricole alimentari e forestali,legislatura 18
II Governo Conte,Vice Ministro degli Affari esteri e della cooperazione internazionale,legislatura 18
II Governo Conte,Vice Ministro dell'Istruzione,legislatura 18
II Governo Conte,Vice Ministro degli Affari esteri e della cooperazione internazionale,legislatura 18
I Governo Draghi,Vice Ministro dell'Economia e delle finanze,legislatura 18
I Governo Draghi,Vice Ministro degli Affari esteri e della cooperazione internazionale,legislatura 18
I Governo Draghi,Ministro per il Sud e la coesione territoriale,legislatura 18
I Governo Draghi,Ministro per le Politiche giovanili,legislatura 18
I Governo Draghi,Ministro per le Pari opportunità e la famiglia,legislatura 18
I Governo Draghi,Ministro per gli Affari regionali e le autonomie,legislatura 18
I Governo Draghi,Ministro dell'Interno,legislatura 18
I Governo Draghi,Ministro della Giustizia,legislatura 18
I Governo Draghi,Ministro per le Disabilità,legislatura 18
I Governo Draghi,Ministro dell'Università e della ricerca,legislatura 18
I Governo Draghi,Vice Ministro dello Sviluppo economico,legislatura 18
I Governo Draghi,Vice Ministro delle Infrastrutture e della mobilità sostenibili,legislatura 18
