Governo,Ministro,Legislatura
I Governo Amato,Ministro del Turismo e Spettacolo,legislatura 11
I Governo Ciampi,Ministro della Sanita',legislatura 11
I Governo Ciampi,Ministro senza Portafoglio per gli Affari sociali,legislatura 11
I Governo Amato,Ministro della Pubblica Istruzione,legislatura 11
I Governo Ciampi,Ministro della Pubblica istruzione,legislatura 11
