Governo,Ministro,Legislatura
I Governo De Mita,Ministro dei Beni culturali e ambientali,legislatura 10
I Governo Goria,Ministro senza Portafoglio,legislatura 10
I Governo De Mita,Ministro senza Portafoglio per gli Affari sociali,legislatura 10
VII Governo Andreotti,Ministro senza Portafoglio per italiani all'estero e immigrazione,legislatura 10
VI Governo Andreotti,Ministro del Lavoro e della Previdenza sociale,legislatura 10
VI Governo Andreotti,Ministro senza Portafoglio per gli Affari sociali,legislatura 10
VII Governo Andreotti,Ministro senza Portafoglio per gli Affari sociali,legislatura 10
